generation,rank_1,rank_2,swapAccepted
1000,1,2,1
2000,2,4,1
3000,2,3,1
4000,1,2,1
5000,1,4,0
6000,1,4,1
7000,2,3,0
8000,3,4,1
9000,2,3,1
10000,2,3,1
11000,1,4,0
12000,2,3,1
13000,2,3,1
14000,3,4,1
15000,2,4,1
16000,1,4,1
17000,2,4,1
18000,3,4,1
19000,1,4,1
20000,3,4,1
21000,1,3,1
22000,1,4,1
23000,1,2,1
24000,1,3,1
25000,1,4,1
26000,1,2,1
27000,1,3,1
28000,2,3,1
29000,2,4,1
30000,2,4,0
31000,1,2,1
32000,2,4,1
33000,3,4,1
34000,2,3,1
35000,2,3,1
36000,2,4,1
37000,2,4,1
38000,1,3,1
39000,3,4,1
40000,1,3,1
41000,2,4,1
42000,1,2,1
43000,2,3,1
44000,1,3,1
45000,2,3,1
46000,2,3,1
47000,2,3,1
48000,2,4,1
49000,2,4,1
50000,1,3,1
51000,1,2,1
52000,1,2,1
53000,2,4,1
54000,2,4,1
55000,1,3,1
56000,3,4,1
57000,3,4,1
58000,1,3,1
59000,1,4,1
60000,2,3,1
61000,1,4,1
62000,1,4,1
63000,2,3,1
64000,1,3,1
65000,2,3,1
66000,2,4,1
67000,1,3,1
68000,1,3,1
69000,2,3,1
70000,1,2,1
71000,1,2,1
72000,1,2,1
73000,2,4,1
74000,1,2,1
75000,1,2,1
76000,1,4,1
77000,2,3,1
78000,2,4,1
79000,2,4,1
80000,2,4,1
81000,2,3,1
82000,1,4,1
83000,1,3,1
84000,3,4,1
85000,1,2,1
86000,3,4,1
87000,3,4,1
88000,1,2,1
89000,2,4,1
90000,2,4,1
91000,2,3,1
92000,3,4,1
93000,2,3,1
94000,1,3,1
95000,1,2,1
96000,2,4,1
97000,1,2,1
98000,1,3,1
99000,1,4,1
100000,3,4,1
101000,1,4,0
102000,3,4,1
103000,1,3,1
104000,3,4,1
105000,1,4,1
106000,1,4,1
107000,2,4,1
108000,2,3,1
109000,3,4,1
110000,3,4,1
111000,1,2,1
112000,2,4,1
113000,1,3,1
114000,2,3,1
115000,3,4,1
116000,3,4,1
117000,1,4,1
118000,1,4,1
119000,1,2,0
120000,2,3,1
