generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-0.336766,-998.98,1,1
1000,1,-1.73282,-853.962,1.56091,0.268731
2000,1,-1.15593,-854.905,0.460875,0.325337
3000,1,-1.12874,-850.944,1.5637,0.4
4000,2,-3.16943,-825.747,2.70078,0.35866
5000,3,-7.75781,-813.24,3.69877,0.362
6000,3,-2.7571,-805.189,2.44048,0.4
7000,3,-2.25395,-806.884,1.6957,0.404
8000,3,-1.97459,-804.229,1.75526,0.4015
9000,4,-5.75703,-805.186,4.90714,0.42
10000,4,-5.51865,-800.984,4.04088,0.4245
11000,3,-2.44972,-802.669,1.59089,0.395
12000,3,-1.52892,-800.733,1.43116,0.397
13000,3,-2.01207,-798.328,1.89808,0.408
14000,3,-2.86303,-807.877,3.0749,0.403
15000,3,-4.33003,-801.254,3.87091,0.384
16000,4,-4.181,-791.285,3.51937,0.404429
17000,4,-5.88396,-801.647,5.15661,0.408
18000,5,-4.41757,-788.605,4.16122,0.422
19000,3,-3.37016,-801.535,2.10144,0.395242
20000,4,-4.25846,-801.56,2.03102,0.39398
21000,4,-3.91308,-796.819,2.91553,0.388333
22000,3,-1.72989,-802.145,0.905568,0.3985
23000,3,-0.600007,-801.889,0.397191,0.401556
24000,4,-2.87829,-792.887,2.66428,0.40175
25000,5,-3.5171,-791.683,3.10309,0.394714
26000,4,-4.39187,-799.89,2.97663,0.40975
27000,5,-4.35453,-796.707,3.12163,0.405538
28000,4,-0.665755,-795.14,1.02887,0.406143
29000,4,-2.03741,-792.421,2.26499,0.42
30000,4,-3.60583,-799.211,4.00481,0.405
31000,4,-1.26454,-790.256,0.85663,0.424571
32000,5,-3.7998,-796.646,3.24745,0.42325
33000,4,-3.56985,-789.1,3.55569,0.396
34000,4,-3.90132,-797.056,3.03002,0.409
35000,5,-5.28545,-798.411,4.71283,0.387
36000,4,-1.9604,-796.194,1.66009,0.412
37000,4,-1.83719,-793.588,2.47844,0.417
38000,3,-2.0255,-803.04,1.40625,0.411125
39000,4,-2.17042,-806.89,1.21378,0.412
40000,5,-2.88082,-796.65,1.47929,0.413091
41000,3,-1.3973,-803.296,0.67514,0.383
42000,7,-6.81111,-786.864,3.8771,0.4145
43000,6,-3.89145,-787.475,2.08228,0.39
44000,3,-1.19811,-798.309,0.88586,0.40825
45000,3,-1.91819,-801.06,1.38785,0.417
46000,3,-1.23375,-799.863,0.64859,0.413
47000,3,-2.09927,-801.679,1.48468,0.372
48000,4,-1.65314,-800.487,0.997169,0.4045
49000,5,-2.28023,-796.823,2.23089,0.406
50000,5,-2.31934,-788.297,1.89794,0.405
51000,4,-3.05009,-793.794,2.75774,0.407111
52000,5,-3.63033,-786.401,3.87131,0.4285
53000,5,-2.32715,-789.767,2.84323,0.402
54000,5,-2.04941,-787.25,2.08753,0.425
55000,5,-2.25647,-803.261,1.73394,0.413714
56000,4,-3.61736,-798.665,1.77528,0.415625
57000,4,-3.4057,-790.533,3.00684,0.384
58000,4,-3.03749,-794.205,2.85607,0.4175
59000,5,-2.97244,-790.428,2.4974,0.415121
60000,5,-2.83185,-787.97,2.58367,0.415029
61000,5,-3.95065,-786.84,3.39547,0.392333
62000,6,-4.05194,-784.374,3.79304,0.4305
63000,7,-4.25208,-783.398,4.13688,0.436
64000,5,-2.23524,-796.961,1.22841,0.4045
65000,4,-1.49967,-795.577,1.12024,0.418
66000,4,-3.14194,-792.74,2.68475,0.4
67000,4,-5.92528,-792.268,5.71241,0.41028
68000,4,-5.14733,-795.246,4.35803,0.415
69000,4,-2.91173,-793.962,2.01516,0.399
70000,4,-2.93771,-797.091,2.98362,0.409571
71000,5,-4.32266,-792.776,2.90158,0.393667
72000,5,-5.73969,-793.454,4.77157,0.413
73000,4,-2.68072,-794.241,1.60429,0.396
74000,5,-4.435,-790.016,2.33281,0.41325
75000,4,-6.43395,-789.558,4.20417,0.414333
76000,4,-1.75065,-792.595,1.06055,0.404875
77000,4,-3.09928,-793.017,2.14658,0.393
78000,5,-3.66031,-796.016,2.56191,0.406
79000,4,-4.97509,-791.817,5.33626,0.425
80000,4,-4.11484,-791.525,2.65625,0.414
81000,4,-2.58722,-791.551,2.41216,0.383
82000,4,-2.64132,-793.735,2.1171,0.407667
83000,4,-3.37348,-791.721,2.81808,0.406727
84000,5,-4.46403,-788.048,3.45775,0.406833
85000,5,-1.70106,-786.87,1.17469,0.407545
86000,5,-2.44326,-791.188,1.43975,0.406667
87000,6,-5.70445,-780.428,5.26941,0.416
88000,7,-3.31063,-781.505,2.7946,0.4155
89000,7,-4.15852,-788.897,3.18955,0.411
90000,7,-5.30596,-787.525,4.83724,0.412
91000,6,-2.68618,-790.566,2.82535,0.443
92000,5,-2.92606,-791.252,2.96051,0.444
93000,6,-2.85565,-793.427,1.55218,0.419
94000,6,-3.83745,-787.492,1.86231,0.414143
95000,5,-3.29532,-784.516,3.39376,0.414846
96000,5,-4.20429,-791.018,3.82625,0.414357
97000,4,-1.762,-791.227,1.19396,0.414818
98000,4,-3.96137,-795.676,2.03363,0.405167
99000,6,-5.0738,-783.73,3.05717,0.4102
100000,6,-4.72715,-778.934,4.12834,0.411833
101000,6,-3.50714,-784.12,2.78914,0.408
102000,7,-7.20739,-788.252,4.85347,0.4025
103000,6,-7.8159,-794.457,5.60119,0.415118
104000,4,-2.60168,-790.109,1.06895,0.416056
105000,6,-3.88752,-783.574,2.07816,0.431333
106000,5,-4.37718,-788.519,2.85563,0.3865
107000,5,-2.33315,-782.546,2.69941,0.427
108000,5,-3.22177,-785.588,3.16527,0.423
