generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-0.326656,-1031.33,1,0
1000,1,-1.35081,-826.38,0.696517,0.287712
2000,1,-0.185287,-830.297,0.26401,0.311844
3000,1,-1.8041,-829.053,1.34871,0.381
4000,2,-1.78619,-812.292,1.75104,0.356411
5000,3,-2.95429,-808.753,1.8751,0.3542
6000,2,-1.44685,-809.806,0.66229,0.354333
7000,4,-3.60512,-802.796,3.48206,0.358333
8000,4,-2.02693,-801.851,2.74894,0.3675
9000,2,-1.88389,-812.335,1.99079,0.371333
10000,1,-2.26842,-828.606,1.39931,0.343166
11000,3,-4.02089,-800.598,2.17119,0.3642
12000,3,-5.28135,-803.636,3.29025,0.365833
13000,3,-5.79853,-795.966,2.46983,0.36
14000,2,-1.2948,-815.663,0.321409,0.337
15000,4,-3.76214,-808.134,1.69629,0.346
16000,5,-3.04401,-792.022,1.66732,0.373
17000,5,-7.73417,-781.097,6.22657,0.382222
18000,5,-8.22084,-787.629,5.49822,0.4105
19000,4,-3.72051,-793.918,2.47103,0.364353
20000,4,-2.98521,-791.171,2.68398,0.365278
21000,4,-1.61909,-788.019,1.41152,0.427
22000,4,-3.23363,-790.539,3.04538,0.40575
23000,4,-2.19379,-788.516,2.56149,0.412333
24000,4,-3.20244,-787.335,2.25575,0.392
25000,6,-4.0596,-786.191,2.76451,0.395353
26000,4,-1.67532,-782.769,1.05405,0.3995
27000,4,-1.63628,-782.666,1.73891,0.403
28000,5,-3.94112,-784.748,1.81436,0.399813
29000,5,-5.6619,-783.35,3.47013,0.4152
30000,5,-4.107,-782.094,2.55493,0.4105
31000,5,-3.47158,-787.816,1.6394,0.413
32000,5,-4.12236,-779.935,2.94784,0.4065
33000,5,-5.44638,-779.445,3.72909,0.375
34000,5,-4.06918,-779.739,3.35439,0.3845
35000,4,-5.16664,-785.77,3.70359,0.393296
36000,6,-2.93805,-779.681,2.05806,0.4095
37000,5,-2.2721,-779.119,3.06004,0.439
38000,5,-3.19338,-778.299,2.30717,0.4355
39000,6,-4.85871,-786.824,3.34846,0.392385
40000,4,-3.95612,-784.639,2.77664,0.391071
41000,4,-2.18497,-790.187,1.69499,0.421
42000,4,-4.78413,-784.169,3.37649,0.392382
43000,4,-2.63153,-784.535,2.09126,0.385
44000,4,-1.79158,-781.745,0.764209,0.3955
45000,5,-8.07293,-794.079,5.91559,0.396
46000,4,-3.45027,-783.832,2.47863,0.3845
47000,4,-3.7825,-788.692,1.42729,0.371
48000,4,-4.42002,-784.607,4.1212,0.3984
49000,4,-3.16819,-788.652,3.67026,0.426
50000,6,-9.20033,-787.768,4.39333,0.4095
51000,6,-5.86306,-784.076,1.78921,0.422
52000,6,-5.92892,-782.173,5.04189,0.39425
53000,5,-2.12958,-779.321,2.08069,0.411
54000,5,-4.29906,-780.802,3.15046,0.397
55000,4,-3.73002,-783.685,2.32832,0.405
56000,5,-4.79413,-780.224,3.10328,0.41225
57000,4,-5.68052,-784.572,3.87932,0.392667
58000,4,-7.76698,-790.025,5.07307,0.38525
59000,5,-3.28284,-782.67,3.38299,0.399231
60000,6,-5.57433,-777.508,5.85789,0.401429
61000,4,-3.45024,-788.601,2.23632,0.392
62000,5,-2.81149,-784.877,1.45462,0.38375
63000,6,-5.69372,-776.56,4.12666,0.416
64000,6,-2.52398,-774.943,1.65058,0.407
65000,6,-7.55188,-777.989,5.50874,0.412
66000,6,-4.52224,-783.165,2.96597,0.414333
67000,5,-3.28721,-783.226,2.18932,0.404364
68000,4,-2.17086,-784.3,1.48026,0.405
69000,6,-4.76945,-791.913,3.01353,0.372
70000,5,-4.12599,-784.259,3.63967,0.398
71000,5,-1.25334,-785.846,1.10832,0.425
72000,5,-3.49302,-783.289,3.16853,0.425
73000,5,-5.46974,-779.429,4.8006,0.411
74000,6,-4.86817,-782.182,2.93099,0.400556
75000,4,-5.429,-785.923,4.76512,0.389
76000,4,-0.692259,-783.906,1.00695,0.39
77000,7,-3.11192,-776.482,3.46664,0.408455
78000,6,-3.00346,-776.718,2.87852,0.404917
79000,6,-6.42396,-785.365,4.31087,0.407
80000,4,-3.70678,-785.412,2.24989,0.406
81000,6,-7.83714,-776.781,6.23103,0.410333
82000,6,-4.88104,-781.057,2.99821,0.403
83000,5,-4.27506,-779.294,2.87776,0.378
84000,4,-2.36401,-784.618,2.29583,0.391
