generation,rank_1,rank_2,swapAccepted
1000,1,4,1
2000,1,4,1
3000,1,3,1
4000,1,4,1
5000,2,4,1
6000,2,4,1
7000,1,2,1
8000,2,4,1
9000,1,4,1
10000,1,4,1
11000,3,4,1
12000,1,4,0
13000,1,4,1
14000,2,3,1
15000,2,4,1
16000,1,3,1
17000,1,2,1
18000,2,3,1
19000,2,4,1
20000,1,4,1
21000,1,4,1
22000,2,3,1
23000,1,2,1
24000,3,4,1
25000,1,2,1
26000,1,2,1
27000,1,2,0
28000,1,4,1
29000,1,2,1
30000,2,3,1
31000,1,4,1
32000,2,4,1
33000,2,4,1
34000,1,2,1
35000,1,3,1
36000,1,2,1
37000,2,3,1
38000,1,3,1
39000,3,4,1
40000,1,3,1
41000,1,4,1
42000,3,4,1
43000,1,4,1
44000,3,4,1
45000,1,3,1
46000,1,2,1
47000,2,3,1
48000,3,4,1
49000,1,3,1
50000,3,4,1
51000,1,4,1
52000,1,2,1
53000,1,3,1
54000,2,3,1
55000,2,3,1
56000,1,3,1
57000,2,3,1
58000,1,2,1
59000,1,2,1
60000,2,3,1
61000,2,3,1
62000,2,4,1
63000,1,2,1
64000,1,2,1
65000,2,3,1
66000,3,4,1
67000,1,3,1
68000,1,2,1
69000,1,4,1
70000,2,3,1
71000,2,3,1
72000,3,4,1
73000,3,4,1
74000,1,2,1
75000,2,4,1
76000,1,4,1
77000,1,2,1
78000,1,4,1
79000,2,3,1
80000,3,4,1
81000,1,2,1
82000,2,3,1
83000,2,3,1
84000,1,3,1
85000,2,4,1
86000,1,4,1
87000,1,3,1
88000,3,4,1
89000,2,4,1
90000,3,4,1
91000,2,3,1
92000,3,4,1
93000,1,3,1
94000,1,2,1
95000,2,3,1
96000,1,4,1
97000,1,4,1
98000,1,3,1
99000,1,2,1
100000,2,4,0
101000,2,4,1
102000,1,4,1
103000,2,4,1
104000,1,4,0
105000,3,4,1
106000,1,3,1
107000,3,4,1
108000,2,4,1
109000,2,3,1
110000,3,4,1
111000,2,4,1
112000,1,2,1
113000,2,3,1
114000,1,3,1
115000,1,4,1
116000,1,4,1
117000,2,3,1
118000,2,4,1
119000,1,2,1
120000,1,4,1
121000,1,4,1
122000,3,4,1
123000,1,2,1
124000,1,2,1
125000,1,3,1
126000,1,4,1
127000,2,3,1
128000,2,4,1
129000,1,2,0
130000,2,4,1
131000,2,3,1
132000,1,2,1
133000,2,3,1
134000,2,4,1
135000,1,4,1
136000,1,4,1
137000,3,4,0
138000,3,4,1
139000,1,4,1
140000,3,4,1
141000,2,4,1
142000,1,3,1
143000,3,4,1
144000,1,2,1
145000,1,3,1
146000,1,3,1
147000,2,4,1
148000,3,4,1
149000,1,4,1
150000,2,4,1
151000,2,4,1
152000,1,3,1
153000,2,4,1
154000,2,3,1
155000,1,3,1
156000,1,4,1
157000,1,2,1
158000,1,3,1
159000,1,2,1
160000,1,2,1
161000,3,4,1
162000,2,4,1
163000,1,3,1
164000,3,4,1
165000,1,4,1
166000,1,2,1
167000,1,2,1
168000,3,4,1
169000,1,3,1
170000,3,4,1
171000,3,4,1
172000,2,4,1
173000,2,4,1
174000,1,2,1
175000,2,4,1
176000,1,2,1
177000,3,4,1
178000,2,4,1
179000,1,2,1
