generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-0.195924,-1005.37,0.708168,1
1000,0,-1.28887,-793.286,1.07952,0.217782
2000,0,-1.37068,-788.076,1.23627,0.203
3000,2,-3.00425,-763.904,0.971777,0.225925
4000,3,-4.17618,-733.549,2.7502,0.271182
5000,3,-4.15297,-732.811,2.30368,0.374
6000,4,-2.21412,-729.115,0.943034,0.3785
7000,5,-5.21098,-717.188,3.47008,0.329239
8000,5,-5.51112,-719.109,4.21803,0.336458
9000,4,-2.91782,-723.159,1.41268,0.410667
10000,5,-3.43575,-717.713,1.45694,0.3955
11000,5,-3.44325,-716.506,2.25208,0.405
12000,5,-3.92924,-709.916,1.37661,0.4095
13000,5,-4.40848,-724.444,0.683571,0.390818
14000,4,-1.64373,-720.657,1.12397,0.3935
15000,4,-5.14396,-720.525,3.49802,0.438
16000,5,-7.76956,-722.153,6.31973,0.374414
17000,6,-9.18719,-711.798,5.80274,0.4142
18000,6,-5.54094,-713.065,2.92786,0.411
19000,5,-5.27502,-711.37,3.00408,0.461
20000,5,-5.46824,-724.418,2.15056,0.427167
21000,5,-3.14445,-714.459,1.96271,0.435667
22000,5,-4.95827,-714.009,2.83107,0.43175
23000,5,-7.29982,-714.141,4.31846,0.414429
24000,5,-4.31053,-712.716,2.75916,0.41375
25000,6,-6.69419,-713.401,2.47842,0.419
26000,5,-3.77663,-709.632,2.95839,0.4235
27000,6,-7.18337,-710.419,2.90657,0.387
28000,6,-3.63453,-706.5,2.99581,0.413727
29000,5,-7.38745,-725.003,3.79017,0.406857
30000,5,-5.08698,-714.508,3.40066,0.402375
31000,6,-3.8931,-708.74,1.91582,0.394
32000,6,-5.39082,-709.831,3.353,0.399333
33000,8,-7.98106,-713.562,5.02569,0.426
34000,6,-6.32324,-714.505,4.26205,0.405714
35000,6,-3.79649,-710.471,2.82631,0.405714
36000,7,-5.95138,-713.91,3.24345,0.41225
37000,8,-8.34122,-713.167,5.11684,0.397
38000,4,-4.7274,-716.638,3.65902,0.4077
39000,4,-2.90955,-717.791,1.2604,0.388
40000,8,-7.03824,-711.958,5.93026,0.4099
41000,5,-4.63215,-714.073,2.47043,0.3982
42000,5,-4.18465,-710.526,3.58247,0.399
43000,5,-4.06539,-714.271,2.524,0.3934
44000,5,-6.67217,-715.215,3.99797,0.395667
45000,5,-6.38882,-714.683,3.23099,0.426333
46000,5,-3.6391,-711.432,1.4123,0.409417
47000,6,-6.09666,-721.66,2.74752,0.397
48000,6,-7.82392,-715.753,5.19311,0.3895
49000,5,-3.01542,-709.689,1.68506,0.417667
50000,5,-4.55845,-710.714,2.72761,0.4134
51000,6,-7.20432,-710.575,4.98785,0.399333
52000,5,-5.33734,-721.01,2.78709,0.406
53000,5,-3.74752,-713.864,2.93625,0.408
54000,5,-6.06366,-716.936,3.75658,0.41025
55000,5,-4.79863,-717.127,3.79156,0.415
56000,5,-6.1107,-715.539,4.56027,0.41525
57000,5,-3.96964,-710.929,3.14506,0.425
58000,5,-4.59374,-710.058,3.35652,0.4275
59000,5,-3.73431,-712.327,2.30798,0.413667
60000,5,-6.21865,-709.746,3.4318,0.41375
61000,5,-3.98729,-712.068,2.44311,0.434
62000,6,-6.58523,-710.766,3.52255,0.4155
63000,7,-8.23595,-712.407,4.24252,0.411
64000,5,-2.35066,-710.797,0.972653,0.405
65000,5,-8.74446,-712.013,5.0009,0.399
66000,5,-3.56398,-710.964,2.69,0.401
67000,7,-5.83894,-705.46,4.59966,0.407667
68000,6,-4.60361,-713.94,2.69611,0.41075
69000,5,-4.16977,-713.959,2.46083,0.410947
70000,6,-4.96457,-715.274,2.11191,0.41135
71000,6,-5.84152,-707.439,4.21728,0.384
72000,5,-5.70206,-715.177,3.78502,0.3895
73000,6,-5.67266,-708.648,3.86823,0.413
74000,6,-9.47463,-707.899,8.43525,0.408875
75000,6,-7.51556,-708.666,4.32366,0.437
76000,5,-3.90549,-713.55,2.2923,0.42
77000,5,-2.33545,-713.438,0.90405,0.418444
78000,6,-6.74822,-710.774,3.07108,0.4075
