generation,rank_1,rank_2,swapAccepted
1000,1,4,1
2000,2,3,1
3000,1,3,1
4000,2,4,1
5000,2,4,1
6000,1,2,1
7000,2,4,1
8000,1,3,1
9000,2,3,1
10000,2,4,1
11000,1,3,1
12000,1,3,1
13000,2,4,1
14000,1,4,1
15000,2,4,1
16000,2,4,1
17000,1,2,1
18000,1,3,1
19000,2,3,1
20000,1,4,1
21000,2,3,1
22000,1,4,1
23000,3,4,1
24000,1,3,1
25000,1,2,1
26000,3,4,1
27000,2,3,1
28000,1,4,1
29000,1,4,1
30000,1,2,1
31000,1,4,1
32000,1,2,1
33000,2,3,1
34000,1,2,1
35000,3,4,1
36000,2,4,1
37000,3,4,1
38000,1,3,1
39000,1,3,1
40000,1,2,1
41000,2,4,1
42000,2,4,1
43000,1,2,1
44000,1,4,1
45000,1,3,1
46000,1,3,1
47000,1,3,1
48000,1,2,0
49000,1,2,1
50000,3,4,1
51000,1,4,1
52000,3,4,1
53000,2,3,1
54000,3,4,1
55000,2,4,1
56000,2,4,1
57000,3,4,1
58000,3,4,1
59000,1,4,1
60000,1,2,1
61000,3,4,1
62000,2,4,1
63000,1,3,1
64000,2,4,1
65000,3,4,1
66000,1,2,1
67000,2,4,1
68000,2,4,1
69000,1,2,1
70000,1,2,1
71000,1,4,1
72000,1,4,1
73000,2,3,1
74000,3,4,1
75000,1,2,1
76000,3,4,1
77000,2,4,1
78000,1,3,1
79000,2,3,1
80000,2,4,1
81000,1,4,1
82000,1,2,1
83000,2,4,1
84000,1,4,1
85000,2,4,1
86000,1,2,1
87000,2,3,1
88000,1,4,1
89000,3,4,1
90000,1,2,1
91000,2,4,1
92000,1,2,1
93000,2,3,1
94000,1,2,1
95000,3,4,1
96000,2,4,1
97000,1,2,1
98000,2,4,0
99000,1,4,1
100000,2,4,1
101000,1,3,1
102000,2,4,1
103000,1,4,1
104000,1,2,1
105000,1,2,1
106000,3,4,1
107000,2,4,1
108000,3,4,1
109000,3,4,1
110000,2,4,1
111000,1,3,1
112000,2,3,1
113000,3,4,1
114000,3,4,1
115000,3,4,1
116000,1,3,1
117000,1,2,1
118000,3,4,1
119000,3,4,1
120000,1,2,1
121000,1,4,1
122000,2,3,1
123000,2,4,1
124000,1,3,1
125000,1,2,1
126000,1,2,1
127000,2,4,1
128000,1,3,1
129000,1,3,1
130000,2,4,1
131000,1,4,1
132000,1,2,1
133000,3,4,1
134000,1,2,1
135000,1,2,1
136000,1,3,0
137000,1,3,0
138000,3,4,1
139000,2,3,1
140000,1,4,1
141000,1,2,1
142000,1,3,1
143000,1,2,1
144000,1,2,1
145000,1,4,1
146000,1,2,1
147000,1,3,1
148000,1,2,1
149000,1,3,1
150000,1,2,1
151000,2,3,1
152000,2,3,1
153000,2,4,1
154000,2,3,1
155000,3,4,1
156000,1,2,1
157000,3,4,1
158000,1,3,0
159000,2,3,1
160000,1,2,1
161000,1,2,1
162000,1,2,1
163000,1,2,1
164000,2,3,1
165000,1,3,1
166000,1,2,1
167000,1,2,1
168000,1,2,1
169000,2,4,1
170000,3,4,1
171000,1,2,1
172000,2,4,1
173000,1,2,1
174000,1,2,1
175000,1,3,1
176000,2,4,1
177000,1,2,1
178000,1,3,1
179000,2,4,1
180000,1,3,0
181000,1,4,1
182000,1,2,1
183000,3,4,0
184000,1,2,1
185000,1,3,1
186000,1,4,1
187000,2,4,1
188000,3,4,1
189000,1,2,1
190000,2,4,1
191000,2,4,1
192000,2,3,1
193000,2,3,1
194000,1,3,1
195000,1,4,1
196000,1,2,1
197000,1,2,1
198000,1,3,1
199000,3,4,1
200000,1,4,1
201000,1,3,1
202000,1,4,1
203000,3,4,1
204000,1,2,1
205000,2,3,1
206000,1,4,1
207000,1,2,1
208000,2,3,1
209000,1,3,1
210000,2,3,1
211000,3,4,1
212000,1,4,1
213000,2,3,0
214000,2,3,1
215000,1,2,1
216000,1,4,1
217000,1,2,1
218000,1,4,1
219000,1,4,1
220000,1,4,0
221000,2,3,1
222000,2,3,1
223000,2,3,1
224000,2,4,1
225000,3,4,1
226000,3,4,1
227000,2,3,1
228000,2,3,1
229000,1,2,1
230000,2,4,1
231000,2,3,1
232000,1,4,1
233000,2,3,1
234000,1,2,1
235000,2,4,1
236000,2,3,1
237000,2,3,0
238000,2,4,1
239000,2,4,1
240000,2,4,1
241000,2,4,1
242000,1,3,1
243000,2,3,1
244000,2,3,1
245000,2,4,1
246000,1,3,1
247000,2,4,1
248000,1,2,1
249000,1,4,1
250000,1,4,1
251000,1,4,1
252000,2,4,0
253000,3,4,1
254000,2,4,1
255000,1,4,1
256000,1,2,1
257000,1,4,1
258000,1,4,0
259000,1,2,1
260000,1,3,1
261000,2,4,1
262000,1,2,1
263000,1,4,0
264000,1,4,1
265000,2,3,1
266000,2,3,1
267000,2,3,1
268000,2,3,1
269000,1,2,1
270000,2,4,1
271000,1,3,1
272000,1,4,1
273000,1,4,1
274000,1,2,1
275000,2,3,1
276000,1,2,1
277000,3,4,1
278000,1,4,1
279000,2,4,1
280000,1,2,1
281000,1,2,1
282000,1,4,1
283000,2,4,1
284000,2,4,1
285000,1,3,0
286000,1,2,1
287000,1,3,1
288000,3,4,1
289000,1,2,1
290000,2,3,1
291000,1,4,1
292000,1,4,1
293000,2,3,1
294000,2,4,1
295000,3,4,1
296000,1,4,1
297000,3,4,1
298000,2,4,1
299000,1,4,0
300000,1,2,1
301000,1,4,1
302000,3,4,1
303000,1,4,1
304000,1,3,1
305000,2,4,1
306000,1,2,1
307000,3,4,1
308000,2,3,1
309000,2,4,0
310000,1,2,1
311000,1,2,1
312000,1,4,1
313000,2,3,1
314000,2,3,1
315000,1,4,1
316000,2,3,1
317000,1,4,1
318000,2,4,1
319000,2,3,1
320000,1,4,1
321000,2,3,1
322000,1,3,1
323000,1,2,1
324000,1,4,1
325000,1,4,0
326000,1,3,1
327000,1,3,1
328000,2,3,1
329000,2,3,1
330000,1,3,1
331000,1,3,1
332000,3,4,1
333000,1,2,1
334000,2,3,1
335000,2,3,1
336000,3,4,1
337000,3,4,1
338000,2,4,0
339000,1,2,1
340000,1,3,1
341000,3,4,1
342000,2,4,0
343000,1,4,1
344000,3,4,1
345000,3,4,1
346000,1,2,1
347000,3,4,1
348000,1,2,1
349000,3,4,1
350000,2,4,0
351000,1,4,1
352000,1,3,1
353000,2,4,1
354000,2,3,1
355000,1,2,0
356000,2,3,1
357000,1,3,1
358000,1,2,1
359000,1,4,1
360000,1,2,1
361000,1,4,1
362000,3,4,1
363000,2,3,1
364000,3,4,1
365000,2,4,1
366000,1,3,1
367000,2,3,1
368000,1,3,1
369000,1,2,1
370000,2,4,1
371000,3,4,1
372000,3,4,1
373000,3,4,1
374000,2,4,1
375000,2,4,1
376000,3,4,1
377000,2,3,1
378000,2,4,1
379000,1,4,1
380000,1,3,1
381000,2,4,1
382000,3,4,1
383000,2,4,1
384000,2,3,1
385000,1,4,0
386000,1,4,1
387000,3,4,1
388000,2,3,0
389000,2,3,0
390000,3,4,1
391000,2,3,1
392000,1,3,1
393000,3,4,1
394000,1,3,1
395000,3,4,1
396000,2,4,1
397000,1,3,1
398000,1,4,1
399000,3,4,0
400000,2,3,1
401000,1,2,1
402000,1,3,0
403000,2,3,0
404000,2,4,0
405000,3,4,1
406000,2,3,1
407000,2,4,1
408000,1,2,1
409000,1,4,1
410000,2,4,1
411000,2,4,1
412000,2,4,1
413000,1,3,1
414000,1,2,1
415000,1,4,1
416000,1,2,1
417000,2,4,1
418000,2,3,1
419000,2,4,1
420000,2,3,1
421000,1,3,1
422000,2,4,1
423000,2,4,1
424000,2,4,1
425000,2,4,1
426000,1,2,0
427000,1,4,1
428000,1,3,1
429000,2,4,1
430000,2,4,1
431000,3,4,1
432000,3,4,1
433000,1,2,1
434000,3,4,1
435000,1,3,1
436000,1,2,1
437000,3,4,1
438000,1,2,1
439000,2,4,1
440000,1,3,0
441000,1,4,1
442000,2,3,1
443000,3,4,1
444000,1,4,1
445000,2,3,1
446000,1,4,1
447000,1,4,1
448000,2,3,1
449000,1,4,1
450000,1,4,1
451000,2,3,1
452000,3,4,1
453000,2,3,1
454000,1,4,1
455000,2,4,1
456000,2,4,1
457000,1,4,1
458000,1,4,1
459000,1,3,1
460000,1,3,1
461000,2,3,1
462000,1,2,1
463000,2,4,1
464000,2,3,1
465000,1,3,1
466000,3,4,1
467000,1,2,1
468000,3,4,1
469000,1,2,1
470000,2,4,1
471000,1,3,1
472000,2,4,1
473000,2,3,1
474000,3,4,1
475000,1,4,1
476000,1,2,1
477000,2,3,1
478000,2,3,1
479000,2,3,1
480000,1,2,1
481000,2,4,1
482000,2,4,1
483000,1,3,1
484000,1,3,1
485000,1,3,1
486000,1,4,1
487000,1,2,1
488000,1,4,1
489000,2,4,1
490000,1,2,1
491000,2,4,1
492000,1,4,1
493000,2,4,1
494000,3,4,1
495000,2,3,1
496000,1,4,1
497000,2,3,1
498000,3,4,1
499000,1,3,1
500000,2,4,1
501000,1,3,1
502000,1,3,1
503000,1,3,1
504000,1,3,1
505000,2,3,1
506000,3,4,1
507000,1,3,1
508000,1,4,0
509000,1,2,1
510000,1,3,1
511000,1,4,1
512000,2,3,1
513000,1,4,1
514000,2,4,1
515000,2,3,1
516000,1,2,1
517000,1,3,1
518000,1,4,1
519000,1,3,1
520000,1,4,1
521000,2,3,0
522000,3,4,1
523000,3,4,1
524000,1,2,1
525000,1,2,1
526000,1,3,1
527000,1,4,1
528000,1,4,1
529000,1,3,1
530000,3,4,1
531000,3,4,1
532000,3,4,1
533000,3,4,1
534000,1,4,1
535000,2,3,1
536000,1,2,1
537000,1,4,1
538000,2,3,1
539000,1,2,1
540000,2,3,1
541000,2,3,1
542000,1,2,1
543000,1,2,1
544000,1,2,1
545000,1,4,1
546000,3,4,1
547000,1,4,1
548000,1,3,1
549000,2,3,1
550000,2,3,1
551000,3,4,1
552000,1,2,1
553000,1,2,1
554000,3,4,1
555000,1,2,1
556000,3,4,1
557000,1,4,1
558000,3,4,1
559000,1,3,1
560000,2,4,1
561000,1,2,1
562000,1,3,1
563000,1,3,1
564000,1,2,1
565000,1,4,1
566000,2,3,1
567000,1,4,1
568000,3,4,1
569000,2,3,1
570000,1,2,1
571000,1,4,0
572000,2,4,1
573000,3,4,1
574000,1,3,1
575000,1,2,0
576000,2,4,1
577000,1,4,1
578000,1,4,1
579000,1,4,1
580000,2,3,1
581000,1,3,1
582000,3,4,1
583000,1,4,1
584000,3,4,1
585000,2,4,1
586000,1,4,1
587000,3,4,1
588000,2,3,1
589000,2,4,1
590000,2,4,1
591000,3,4,0
592000,1,2,1
593000,3,4,1
594000,1,2,1
595000,3,4,1
596000,3,4,1
597000,2,3,1
598000,1,2,1
599000,2,3,1
600000,3,4,1
601000,1,4,0
602000,3,4,1
603000,1,3,1
604000,1,3,1
605000,3,4,1
606000,3,4,1
607000,2,4,1
608000,3,4,1
609000,2,4,1
610000,3,4,0
611000,1,3,1
612000,1,2,1
613000,1,4,1
614000,1,4,1
615000,1,2,1
616000,2,4,1
617000,1,4,1
618000,3,4,1
619000,2,4,1
620000,2,3,1
621000,2,4,1
622000,2,4,1
623000,1,4,1
624000,2,4,1
625000,3,4,1
626000,1,3,1
627000,1,3,1
628000,1,4,1
629000,1,4,0
630000,1,2,1
631000,3,4,0
632000,2,4,1
633000,1,4,1
634000,1,4,1
635000,3,4,1
636000,3,4,1
637000,2,4,1
638000,1,2,1
639000,1,2,1
640000,2,3,1
641000,1,2,1
642000,2,3,1
