generation,rank_1,rank_2,swapAccepted
1000,1,2,1
2000,2,3,1
3000,3,4,1
4000,1,3,1
5000,1,4,1
6000,2,3,1
7000,1,3,1
8000,3,4,1
9000,3,4,1
10000,2,3,1
11000,1,4,1
12000,3,4,1
13000,1,3,1
14000,1,4,1
15000,1,3,1
16000,1,2,1
17000,1,4,1
18000,2,3,1
19000,3,4,1
20000,3,4,1
21000,3,4,1
22000,1,4,1
23000,1,2,1
24000,2,4,1
25000,3,4,1
26000,1,3,1
27000,3,4,1
28000,1,3,1
29000,1,3,1
30000,2,4,1
31000,1,3,1
32000,3,4,1
33000,1,3,1
34000,3,4,1
35000,2,3,1
36000,2,3,1
37000,1,2,1
38000,1,2,1
39000,1,2,1
40000,3,4,1
41000,1,4,1
42000,1,4,1
43000,1,2,1
44000,1,2,1
45000,1,4,1
46000,2,3,1
47000,1,4,1
48000,1,4,1
49000,3,4,1
50000,1,4,1
51000,1,3,1
52000,2,3,1
53000,1,3,1
54000,2,4,1
55000,3,4,1
56000,3,4,1
57000,2,4,1
58000,1,2,1
59000,2,4,1
60000,2,3,1
61000,1,2,1
62000,1,3,1
63000,1,3,1
64000,2,3,1
65000,1,4,1
66000,1,4,1
67000,1,2,1
68000,2,4,1
69000,1,4,0
70000,1,2,0
71000,2,4,1
72000,1,2,1
73000,3,4,1
74000,1,3,1
75000,1,4,1
76000,2,3,0
77000,2,3,1
78000,2,3,1
79000,2,3,1
80000,1,2,1
81000,3,4,1
82000,2,3,1
83000,1,3,1
84000,3,4,1
85000,1,2,1
86000,3,4,1
87000,1,4,1
88000,3,4,1
89000,2,3,1
90000,2,3,1
91000,2,4,1
92000,3,4,1
93000,1,2,1
94000,2,4,1
95000,3,4,1
96000,1,3,1
97000,1,2,1
98000,3,4,1
99000,1,3,1
100000,2,4,1
101000,1,3,1
102000,1,4,0
103000,2,4,1
104000,1,3,1
105000,1,3,1
106000,1,2,1
107000,1,3,1
108000,2,3,1
109000,2,3,1
110000,1,3,1
111000,2,4,1
112000,2,4,1
113000,2,4,1
114000,1,4,1
115000,1,3,0
116000,1,2,1
117000,1,3,1
118000,2,4,1
119000,1,3,1
120000,1,3,1
121000,3,4,1
122000,3,4,1
123000,3,4,1
124000,1,4,1
125000,3,4,1
126000,1,2,1
127000,1,2,1
128000,1,3,1
129000,2,3,1
130000,1,3,1
131000,1,4,1
132000,3,4,1
133000,2,3,1
134000,1,2,1
135000,1,4,1
136000,2,4,1
137000,1,3,1
138000,2,4,1
139000,1,4,1
140000,2,3,1
141000,1,4,1
142000,1,4,1
143000,1,4,0
144000,1,2,1
145000,1,3,1
146000,2,4,1
147000,2,4,1
