generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-0.326656,-1022.07,1,0
1000,2,-0.337751,-849.315,0.514795,0.386613
2000,2,-0.759617,-832.576,1.15835,0.394803
3000,3,-3.35567,-794.238,2.25267,0.397
4000,3,-2.52403,-799.66,1.48772,0.392402
5000,5,-5.62635,-779.315,5.0502,0.3932
6000,5,-4.10334,-787.584,2.40289,0.3945
7000,4,-5.72837,-800.005,3.2684,0.399372
8000,3,-5.45128,-797.076,4.64062,0.399825
9000,5,-4.16354,-787.791,3.42087,0.365
10000,4,-3.24956,-787.561,3.4812,0.3955
11000,5,-2.34221,-787.183,1.76473,0.400857
12000,6,-3.62235,-782.894,3.00379,0.40175
13000,4,-6.13455,-787.423,4.60828,0.417333
14000,4,-3.52235,-790.847,1.97255,0.404417
15000,5,-5.05498,-785.371,4.1971,0.403667
16000,6,-2.41095,-782.976,1.7045,0.4042
17000,5,-4.48067,-783.172,1.38052,0.404857
18000,4,-1.7823,-788.39,1.48636,0.4035
19000,4,-2.95582,-788.152,2.22181,0.39
20000,4,-3.60276,-790.142,2.84026,0.3835
21000,5,-4.17367,-784.234,3.33999,0.445
22000,5,-3.38082,-786.114,3.74453,0.4002
23000,5,-7.91065,-787.579,5.45424,0.400778
24000,4,-3.1608,-786.801,2.65322,0.4013
25000,5,-3.69875,-784.314,2.65767,0.434
26000,4,-7.96419,-786.426,7.46205,0.42175
27000,5,-5.01896,-787.85,2.78908,0.407
28000,4,-2.54612,-790.043,2.39506,0.413417
29000,4,-3.82095,-789.636,3.20533,0.397667
30000,4,-4.67515,-789.699,3.05689,0.40025
31000,6,-6.63651,-776.262,5.72676,0.401
32000,6,-4.72864,-778.371,3.42475,0.391
33000,5,-5.12252,-782.37,3.7323,0.409769
34000,5,-5.1475,-787.968,2.33576,0.408929
35000,5,-5.72895,-787.167,5.66337,0.419
36000,4,-4.75462,-787.669,3.49424,0.42
37000,4,-6.04916,-787.265,4.7916,0.407538
38000,4,-0.826154,-788.303,1.21202,0.398
39000,4,-3.45912,-788.69,3.07918,0.4074
40000,5,-2.05263,-788.234,1.20199,0.408562
41000,6,-2.87741,-782.615,1.07151,0.403273
42000,6,-4.9398,-782.852,3.19565,0.393
43000,6,-5.53491,-784.462,4.55689,0.4048
44000,8,-9.6988,-782.91,5.62371,0.4175
45000,5,-5.8726,-786.838,4.29069,0.403933
46000,5,-5.91575,-785.776,3.92468,0.402562
47000,6,-4.028,-780.429,2.12372,0.397667
48000,5,-4.60755,-786.218,3.27203,0.3945
49000,6,-3.92449,-783.562,3.17585,0.395
50000,4,-3.44271,-789.398,1.6017,0.3945
51000,5,-3.84205,-783.076,3.89819,0.393286
52000,6,-4.02377,-782.746,2.97679,0.400125
53000,5,-4.7458,-793.737,1.67049,0.405857
54000,5,-1.86399,-784.872,0.317896,0.406682
55000,5,-5.35731,-790.23,3.44151,0.382
56000,6,-8.13,-789.75,4.53091,0.376
57000,5,-6.09379,-786.951,3.37571,0.366
58000,4,-5.24423,-793.171,2.8771,0.394875
59000,4,-2.05152,-785.147,1.1674,0.393
60000,4,-3.60468,-785.907,3.21057,0.396
61000,6,-5.61871,-784.904,4.25202,0.392444
62000,5,-1.58843,-792.683,1.04827,0.3935
63000,4,-2.29587,-787.054,2.198,0.401545
64000,4,-4.74638,-789.765,3.06403,0.402667
65000,5,-2.6475,-785.327,2.19082,0.405667
66000,5,-3.94645,-798.513,2.14073,0.4225
67000,5,-3.59191,-779.49,2.52834,0.4324
68000,5,-7.89441,-783.932,6.45744,0.426667
69000,5,-7.49782,-782.948,5.51927,0.393
70000,5,-5.14231,-784.749,3.45148,0.4085
71000,5,-3.78814,-778.355,3.14935,0.4
72000,3,-2.59463,-797.177,0.996837,0.399833
73000,4,-8.2438,-797.993,6.65803,0.406
74000,5,-3.9427,-788.375,2.48627,0.409389
75000,6,-5.03025,-787.688,3.38785,0.420333
76000,5,-4.49643,-780.019,3.77162,0.420125
77000,6,-10.835,-790.79,5.25789,0.383
78000,6,-6.31558,-784.879,2.20261,0.389
79000,5,-2.44971,-782.064,1.7975,0.396
80000,4,-1.23202,-795.929,1.40581,0.390875
81000,5,-4.0493,-789.684,1.75711,0.392
82000,5,-6.13838,-783.646,4.72247,0.3935
83000,6,-3.44049,-780.769,3.26377,0.4048
84000,5,-5.4359,-785.952,4.23202,0.404833
85000,4,-4.38904,-789.351,3.47767,0.402818
86000,5,-6.74208,-791.621,6.70022,0.403417
87000,4,-3.20396,-788.908,2.96942,0.409059
88000,4,-4.23161,-785.752,2.88796,0.406778
89000,4,-2.55557,-790.935,0.78179,0.385
90000,4,-4.91735,-790.531,3.13624,0.384
91000,4,-3.24676,-792.459,1.47759,0.394
92000,4,-1.79756,-790.042,2.44618,0.3765
93000,4,-2.21553,-788.341,2.05431,0.396091
94000,4,-2.31249,-791.804,1.67874,0.398167
95000,4,-4.0126,-791.257,3.08341,0.448
96000,4,-2.64055,-791.706,2.62526,0.415
97000,5,-2.87756,-786.68,2.88032,0.403273
98000,5,-3.24879,-785.733,3.08085,0.402417
99000,4,-2.72488,-788.949,1.66811,0.401667
100000,5,-3.77214,-788.012,3.39278,0.401813
