generation,rank_1,rank_2,swapAccepted
1000,1,4,1
2000,2,3,1
3000,1,4,1
4000,2,4,1
5000,2,3,1
6000,1,4,1
7000,1,3,1
8000,1,2,1
9000,1,4,1
10000,1,4,0
11000,1,2,1
12000,1,2,1
13000,2,3,1
14000,2,3,0
15000,2,3,1
16000,2,4,1
17000,2,4,1
18000,2,3,1
19000,1,2,1
20000,3,4,1
21000,1,2,1
22000,3,4,1
23000,1,3,1
24000,1,2,1
25000,1,2,1
26000,2,3,1
27000,1,2,1
28000,2,4,1
29000,2,3,1
30000,1,2,1
31000,2,3,1
32000,1,2,1
33000,3,4,1
34000,1,3,1
35000,1,4,1
36000,1,3,1
37000,2,3,1
38000,2,3,1
39000,2,4,1
40000,1,4,1
41000,1,4,0
42000,2,4,1
43000,1,4,1
44000,1,3,1
45000,2,3,1
46000,1,3,1
47000,1,2,1
48000,2,3,1
49000,1,3,1
50000,1,3,1
51000,2,4,1
52000,1,2,1
53000,1,2,1
54000,1,4,1
55000,2,4,1
56000,3,4,1
57000,3,4,1
58000,3,4,1
59000,3,4,1
60000,3,4,1
61000,1,2,1
62000,1,2,1
63000,1,3,1
64000,1,3,1
65000,1,4,1
66000,3,4,1
67000,3,4,1
68000,1,4,1
69000,2,4,1
70000,2,3,1
71000,1,2,0
72000,2,4,1
73000,1,3,1
74000,1,4,1
75000,3,4,1
76000,1,4,1
77000,2,3,1
78000,2,4,0
79000,1,4,1
80000,1,2,1
81000,2,3,1
82000,1,2,1
83000,2,4,1
84000,1,4,0
85000,1,2,1
86000,2,4,1
87000,1,4,1
88000,2,3,1
89000,2,4,1
90000,1,2,1
91000,2,4,1
92000,3,4,1
93000,3,4,1
94000,1,3,1
95000,2,4,1
96000,1,3,1
97000,3,4,1
98000,2,4,1
99000,3,4,1
100000,2,4,1
101000,1,4,1
102000,2,3,1
103000,1,2,1
104000,1,4,1
105000,1,4,0
106000,1,2,1
107000,1,2,1
108000,1,2,1
109000,1,4,1
110000,3,4,1
111000,1,2,1
112000,2,4,1
113000,2,3,1
114000,2,4,1
115000,1,3,1
116000,1,2,1
117000,3,4,1
118000,1,3,1
119000,1,3,1
120000,1,3,1
121000,1,4,1
122000,1,2,1
123000,1,4,0
124000,2,3,1
125000,1,4,1
126000,3,4,1
127000,2,4,1
128000,1,2,1
129000,3,4,1
130000,2,4,1
131000,1,4,1
132000,1,2,1
133000,2,4,1
134000,1,2,1
135000,1,3,1
136000,2,3,1
137000,1,3,1
138000,1,3,1
139000,2,4,1
140000,2,4,1
141000,1,4,1
142000,1,4,0
143000,2,4,1
144000,2,4,1
145000,3,4,1
146000,1,4,1
147000,1,3,1
148000,3,4,1
149000,2,3,1
150000,1,3,1
151000,1,2,1
152000,3,4,1
153000,2,3,1
154000,1,4,1
155000,3,4,1
156000,1,3,1
157000,2,4,1
158000,1,4,1
159000,2,3,1
160000,1,4,1
161000,2,4,1
162000,2,4,1
163000,2,3,1
164000,2,4,1
165000,3,4,1
166000,2,4,1
167000,1,3,1
168000,2,3,1
169000,2,4,1
170000,2,3,1
171000,1,2,1
172000,3,4,1
173000,2,4,1
174000,1,3,1
175000,1,4,1
176000,3,4,1
177000,2,4,1
178000,1,3,1
179000,1,3,1
180000,1,4,1
181000,3,4,1
182000,1,4,1
183000,1,4,1
184000,1,3,1
185000,2,3,1
186000,3,4,1
187000,1,4,0
188000,1,4,1
189000,2,4,1
190000,2,4,1
191000,1,3,1
192000,2,3,1
193000,2,3,1
194000,1,4,1
195000,1,2,1
196000,3,4,1
197000,1,4,1
198000,2,3,1
199000,2,3,1
200000,1,4,1
201000,1,3,1
202000,2,3,1
203000,3,4,1
204000,1,2,1
205000,2,4,1
206000,2,4,1
207000,1,4,1
208000,2,3,1
209000,3,4,1
210000,1,4,1
211000,2,3,1
212000,2,3,1
213000,3,4,1
214000,1,4,1
215000,2,4,1
216000,2,4,1
217000,2,4,1
218000,1,3,1
219000,1,4,1
220000,2,4,1
221000,2,4,1
222000,3,4,1
223000,1,3,1
224000,2,4,1
225000,3,4,1
226000,3,4,1
227000,1,4,1
228000,1,4,1
229000,1,2,1
230000,1,2,1
231000,1,2,1
232000,2,4,1
233000,3,4,1
234000,2,4,1
235000,1,2,1
236000,1,3,1
237000,2,3,1
238000,3,4,1
239000,2,3,1
240000,2,4,1
241000,1,3,1
242000,2,3,1
243000,2,3,1
244000,1,3,1
245000,1,2,1
246000,2,3,1
247000,1,3,1
248000,1,2,1
249000,1,2,1
250000,3,4,1
251000,2,4,1
252000,2,3,1
253000,1,2,1
254000,1,2,1
255000,1,4,1
256000,2,4,1
257000,1,2,1
258000,3,4,1
259000,2,4,1
260000,3,4,1
261000,1,3,1
262000,1,4,0
263000,1,2,1
264000,3,4,1
265000,2,4,1
266000,2,4,1
267000,1,2,1
268000,1,4,1
269000,3,4,1
270000,3,4,1
271000,2,3,1
272000,2,3,1
273000,1,3,1
274000,2,3,1
275000,2,3,0
276000,1,3,1
277000,2,3,1
278000,1,3,1
279000,1,3,1
280000,1,2,1
281000,3,4,1
282000,2,4,1
283000,1,2,1
284000,1,2,1
285000,2,4,1
286000,1,4,1
287000,1,3,1
288000,2,3,1
289000,1,3,1
290000,2,3,1
291000,1,4,1
292000,1,2,1
293000,3,4,1
294000,1,4,1
295000,1,4,1
296000,1,2,1
297000,2,3,1
298000,2,3,1
299000,1,4,1
300000,1,2,1
301000,2,4,1
302000,1,2,1
303000,2,4,1
304000,2,4,0
305000,1,3,1
306000,2,4,0
307000,3,4,1
308000,2,4,1
309000,2,3,1
310000,1,4,1
311000,2,4,1
312000,3,4,1
313000,1,3,1
314000,1,3,1
315000,1,4,1
316000,1,3,1
317000,3,4,1
318000,1,4,1
319000,3,4,1
320000,3,4,1
321000,2,4,1
322000,2,3,1
323000,3,4,1
324000,3,4,1
325000,3,4,1
326000,3,4,1
327000,1,2,1
328000,2,4,1
329000,1,3,1
330000,2,4,1
331000,1,4,1
332000,1,2,1
333000,2,3,1
334000,2,3,1
335000,1,2,1
336000,1,4,1
337000,1,2,1
338000,1,4,1
339000,2,4,1
340000,3,4,1
341000,1,3,1
342000,2,4,1
343000,2,4,1
344000,3,4,1
345000,3,4,1
346000,1,4,1
347000,2,3,1
348000,2,3,1
349000,2,4,1
350000,1,4,1
351000,2,3,1
352000,1,4,1
353000,1,4,1
354000,1,4,1
355000,3,4,1
356000,1,4,1
357000,1,2,1
358000,1,2,1
359000,3,4,1
360000,2,4,1
361000,3,4,1
362000,1,2,1
363000,1,2,1
364000,1,4,1
365000,1,3,1
366000,3,4,1
367000,3,4,1
368000,2,3,1
369000,2,4,1
370000,1,3,1
371000,1,2,1
372000,2,4,1
373000,2,4,1
374000,1,4,1
375000,1,4,1
376000,1,3,1
377000,1,2,1
378000,2,3,1
379000,2,4,1
380000,1,4,1
381000,2,3,1
382000,2,3,1
383000,1,3,1
384000,1,4,1
385000,1,2,1
386000,3,4,1
387000,1,3,1
388000,1,3,1
389000,2,4,1
390000,2,4,1
391000,1,3,0
392000,1,4,1
393000,1,2,1
394000,1,2,1
395000,2,3,0
396000,2,4,1
397000,1,4,1
398000,3,4,1
399000,3,4,1
400000,1,2,1
401000,1,3,1
402000,2,4,1
403000,2,4,1
404000,2,4,1
405000,2,4,1
406000,1,3,1
407000,3,4,1
408000,1,4,1
409000,1,4,1
410000,2,3,1
411000,2,4,0
412000,2,3,1
413000,3,4,1
414000,3,4,1
415000,2,4,1
416000,1,2,1
417000,1,2,1
418000,2,3,1
419000,2,3,1
420000,1,4,1
421000,1,2,1
422000,1,2,1
423000,3,4,1
424000,3,4,1
425000,1,3,1
426000,1,2,1
427000,1,3,1
428000,1,2,1
429000,2,4,1
430000,1,2,1
431000,1,4,0
432000,1,3,1
433000,2,3,1
434000,1,4,1
435000,2,4,1
436000,1,4,1
437000,1,2,1
438000,1,3,1
439000,1,3,0
440000,1,2,1
441000,1,4,1
442000,1,4,1
443000,1,3,1
444000,2,4,1
445000,2,4,1
446000,2,3,1
447000,2,3,1
448000,3,4,1
449000,2,3,1
450000,1,2,1
451000,3,4,1
452000,1,3,1
453000,1,4,0
454000,1,4,1
455000,1,3,1
456000,1,2,1
457000,1,4,1
458000,2,4,1
459000,2,4,1
460000,3,4,1
461000,1,3,1
462000,1,4,1
463000,1,3,1
464000,1,4,1
465000,1,4,1
466000,1,4,1
467000,2,3,1
468000,2,3,1
469000,1,3,1
470000,2,4,1
471000,2,3,1
472000,2,4,1
473000,2,4,1
474000,1,3,1
475000,2,3,1
476000,1,4,1
477000,2,4,1
478000,1,4,1
479000,2,3,1
480000,3,4,1
481000,1,4,1
482000,1,2,1
483000,2,4,1
484000,1,2,1
485000,2,4,1
486000,2,3,1
487000,1,2,1
488000,1,4,1
489000,3,4,1
490000,1,3,1
491000,2,3,1
492000,1,3,1
493000,1,2,1
494000,3,4,1
495000,1,2,1
496000,2,3,1
497000,3,4,1
498000,2,3,1
499000,2,3,1
500000,2,4,1
501000,1,3,1
502000,3,4,1
503000,1,3,1
504000,3,4,1
505000,1,3,1
506000,2,3,1
507000,1,2,1
508000,1,4,1
509000,3,4,1
510000,1,2,1
511000,1,2,1
512000,2,4,1
513000,2,3,1
514000,1,4,0
515000,1,3,1
516000,2,4,1
517000,2,3,1
518000,3,4,1
519000,3,4,1
520000,1,3,1
521000,1,2,1
522000,2,4,1
523000,2,3,1
524000,3,4,1
525000,1,3,1
526000,1,4,0
527000,2,3,1
528000,2,3,1
529000,1,3,1
530000,2,4,1
531000,2,3,1
532000,1,4,1
533000,2,4,1
534000,1,4,1
535000,1,4,1
536000,2,4,1
537000,2,3,1
538000,1,2,0
539000,1,4,1
540000,3,4,1
541000,2,4,1
542000,2,4,1
543000,2,4,1
544000,3,4,1
545000,1,3,1
546000,3,4,1
547000,1,2,1
548000,2,4,1
549000,3,4,1
550000,1,3,1
551000,1,4,1
552000,3,4,1
553000,1,3,1
554000,1,3,1
555000,2,4,1
556000,2,3,1
557000,3,4,1
558000,1,2,1
559000,2,4,1
560000,3,4,1
561000,1,4,1
562000,3,4,1
563000,1,2,1
564000,1,4,1
565000,1,3,0
566000,2,3,1
567000,2,3,1
568000,1,4,1
569000,2,4,1
570000,2,4,0
571000,1,2,1
572000,1,2,1
573000,1,4,0
574000,1,2,1
575000,2,3,1
576000,1,3,1
577000,2,4,1
578000,3,4,1
579000,1,2,1
580000,1,4,1
581000,3,4,1
582000,1,2,1
583000,3,4,1
584000,1,2,1
585000,3,4,1
586000,3,4,1
587000,1,3,1
588000,1,2,1
589000,1,4,1
590000,1,4,1
591000,2,4,1
592000,2,4,1
593000,1,2,1
594000,2,4,1
595000,1,2,1
596000,1,3,1
597000,1,4,1
598000,1,4,1
599000,2,3,1
600000,2,4,1
601000,1,4,1
602000,3,4,1
603000,1,3,1
604000,2,3,1
605000,1,2,1
606000,3,4,1
607000,1,2,1
608000,2,4,1
609000,1,2,1
610000,2,4,0
611000,1,2,1
612000,1,4,1
613000,1,4,1
614000,1,4,1
615000,1,3,1
616000,1,3,0
617000,1,2,1
618000,2,4,1
619000,2,3,1
620000,3,4,1
621000,1,4,1
622000,3,4,1
623000,3,4,1
624000,1,3,1
625000,2,4,1
626000,3,4,1
627000,1,2,1
628000,2,4,1
629000,1,3,1
630000,1,3,1
631000,3,4,1
632000,1,2,1
633000,3,4,1
634000,1,2,1
635000,2,3,1
636000,1,2,1
637000,2,3,1
638000,1,4,1
639000,2,3,1
640000,1,3,1
641000,3,4,1
642000,3,4,1
