generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-0.487755,-1004.93,1,0
1000,2,-7.94272,-756.609,0.728166,0.346653
2000,2,-8.30914,-758.742,1.45652,0.356822
3000,3,-9.363,-747.476,1.8469,0.368667
4000,3,-6.72946,-741.803,1.43044,0.37675
5000,3,-5.00941,-735.918,2.12136,0.374
6000,3,-3.62249,-728.565,2.22962,0.376271
7000,4,-4.26921,-725.52,2.17677,0.3864
8000,4,-3.92803,-719.192,1.40719,0.377953
9000,4,-3.76048,-721.012,1.88296,0.4026
10000,4,-4.27007,-720.228,2.48945,0.398333
11000,3,-5.92593,-726.206,3.64169,0.389333
12000,4,-5.76128,-720.595,3.85142,0.413
13000,4,-4.3251,-716.996,1.95474,0.377
14000,4,-3.97864,-720.29,1.84499,0.391
15000,7,-7.98473,-717.357,3.359,0.412
16000,5,-3.78826,-716.077,2.39718,0.4145
17000,5,-4.65263,-714.593,2.38159,0.388
18000,4,-3.92147,-719.091,1.60997,0.3955
19000,4,-3.78978,-717.03,1.47236,0.406538
20000,5,-4.49255,-713.931,2.49236,0.408143
21000,6,-5.87323,-715.718,3.36002,0.402667
22000,6,-8.90772,-718.784,5.10946,0.41
23000,6,-5.44586,-726.53,2.59065,0.400095
24000,5,-6.27203,-709.329,3.71582,0.3925
25000,6,-4.77586,-708.75,3.30292,0.399957
26000,6,-6.14765,-709.5,3.65321,0.400667
27000,5,-6.39403,-716.639,3.79823,0.3996
28000,6,-8.34589,-709.262,5.32815,0.401667
29000,6,-7.32867,-712.001,5.30065,0.413
30000,5,-4.60078,-710.526,2.11871,0.410333
31000,6,-5.70901,-706.226,4.21799,0.399
32000,7,-3.80058,-705.701,2.1962,0.409708
33000,7,-8.45073,-715.187,4.41528,0.401
34000,4,-3.66332,-717.263,2.79517,0.413875
35000,5,-5.28392,-714.609,3.76703,0.417571
36000,6,-5.34817,-712.178,2.25751,0.42325
37000,6,-5.78945,-709.414,3.93174,0.417
38000,6,-6.6142,-711.043,3.79521,0.416
39000,5,-6.69092,-711.694,5.49001,0.4
40000,6,-5.54976,-715.221,2.84302,0.4037
41000,6,-8.5933,-708.078,4.78181,0.393
42000,5,-7.90914,-713.918,4.17772,0.4015
43000,5,-7.31469,-711.224,2.64135,0.398333
44000,5,-5.03711,-708.933,3.69206,0.407875
45000,5,-4.55059,-713.945,2.57874,0.433
46000,6,-6.84589,-714.021,4.88805,0.403
47000,5,-4.35874,-714.338,1.81473,0.400462
48000,7,-5.64411,-708.752,3.25333,0.401214
49000,8,-8.9767,-710.893,6.16976,0.425333
50000,6,-5.42274,-712.442,3.21213,0.4
51000,5,-4.98991,-713.999,2.67198,0.39
52000,5,-2.92074,-711.909,2.0497,0.4129
53000,7,-7.84373,-717.761,4.50028,0.405333
54000,8,-8.62972,-707.782,3.95596,0.412
55000,8,-7.40354,-708.92,3.12976,0.422
56000,6,-7.74034,-712.954,7.00377,0.436
57000,6,-5.19831,-714.557,2.50248,0.416
58000,6,-3.25514,-706.532,1.62774,0.4235
