generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-0.487755,-1019.55,1,0
1000,0,-0.413556,-759.024,0.222498,0.224775
2000,1,-1.27324,-745.919,0.734537,0.261369
3000,1,-1.22023,-744.377,0.851728,0.300566
4000,1,-0.93802,-745.334,0.432842,0.31942
5000,1,-1.3536,-746.269,0.635778,0.369
6000,1,-0.904082,-744.971,0.471433,0.336111
7000,3,-4.41484,-733.738,2.91912,0.371
8000,5,-7.15271,-736.716,3.68553,0.377833
9000,6,-8.31973,-733.485,3.08225,0.421
10000,4,-6.83474,-728.509,3.54572,0.4105
11000,3,-5.13705,-720.658,3.99859,0.362545
12000,3,-2.52443,-721.569,0.64092,0.3755
13000,3,-2.70757,-718.85,1.85735,0.4
14000,3,-2.52849,-723.65,1.1075,0.3953
15000,4,-5.03875,-726.175,2.18591,0.393
16000,3,-2.2019,-718.125,1.83502,0.3945
17000,4,-3.76771,-717.072,3.38577,0.391091
18000,4,-3.5889,-723.102,2.15405,0.378056
19000,6,-5.65166,-718.419,2.33761,0.425
20000,4,-2.82099,-717.996,1.84083,0.3975
21000,6,-4.75145,-714.784,2.76097,0.419
22000,6,-6.67794,-708.715,2.92496,0.41825
23000,5,-5.36892,-705.083,3.39585,0.423
24000,6,-4.34772,-708.335,2.56448,0.41425
25000,4,-5.6311,-714.14,4.87116,0.417111
26000,4,-4.71607,-714.613,3.77007,0.4157
27000,4,-8.07697,-712.137,7.04417,0.39
28000,7,-8.02957,-700.53,5.43386,0.411667
29000,5,-3.75956,-717.038,2.33193,0.392333
30000,7,-8.28841,-705.832,3.59758,0.401167
31000,7,-5.44862,-702.256,4.32922,0.393667
32000,6,-8.39031,-708.116,4.98321,0.393833
33000,5,-4.75476,-706.248,2.92304,0.416
34000,6,-6.09719,-712.643,3.1794,0.4037
35000,6,-5.71071,-714.136,2.88702,0.445
36000,6,-3.76554,-703.876,2.91618,0.4325
37000,5,-3.15917,-709.597,2.0909,0.441
38000,5,-3.26473,-708.445,0.821517,0.417167
39000,5,-5.18617,-709.208,3.0831,0.395667
40000,5,-3.48246,-710.623,1.87059,0.409417
41000,4,-4.49365,-718.225,2.48356,0.442
42000,4,-3.77614,-717.411,1.53986,0.4305
43000,7,-6.15241,-707.773,5.64594,0.401714
44000,7,-7.53366,-700.632,3.45542,0.412429
45000,5,-6.25915,-708.503,6.03925,0.412429
46000,6,-6.19808,-704.306,5.32675,0.419
47000,4,-4.02649,-713.957,3.50139,0.409
48000,4,-1.59544,-713.613,1.0498,0.4081
49000,4,-4.31928,-718.359,1.69335,0.410429
50000,5,-3.68588,-717.251,3.08771,0.41175
51000,5,-4.10487,-706.754,1.95398,0.408
52000,5,-5.19621,-722.128,2.63876,0.406333
53000,6,-6.47636,-712.031,3.70071,0.393
54000,8,-12.869,-718.214,7.94072,0.41
55000,9,-9.02509,-707.858,5.84335,0.422
56000,9,-10.3337,-711.817,6.37927,0.4215
57000,5,-5.87972,-719.858,4.75352,0.421
58000,7,-7.52311,-712.889,4.83966,0.408
59000,6,-4.34024,-712.412,2.90941,0.403182
60000,8,-9.45285,-711.518,5.72989,0.4096
61000,8,-12.8066,-706.93,8.90524,0.434
62000,6,-5.86649,-708.363,3.35717,0.4215
63000,5,-5.05474,-718.426,2.00654,0.4126
64000,5,-6.34601,-717.409,3.39227,0.409667
65000,6,-5.69592,-713.157,3.93808,0.423
66000,5,-4.20343,-711.359,2.76547,0.407722
67000,5,-3.21105,-716.41,1.42306,0.418
68000,5,-5.37112,-715.54,4.79252,0.398
69000,6,-3.85612,-707.888,2.25123,0.4144
70000,6,-2.89141,-711.598,2.03033,0.418
71000,6,-5.84154,-708.307,5.25966,0.417444
72000,6,-7.36399,-713.753,4.5471,0.4075
73000,5,-2.41681,-711.963,1.30084,0.422
74000,5,-5.62191,-717.249,1.95397,0.4045
75000,6,-8.34062,-710.207,5.9451,0.409436
76000,6,-6.46806,-706.243,4.61875,0.410025
77000,6,-5.63904,-709.808,4.50911,0.394
78000,7,-7.51154,-705.356,5.5145,0.414357
79000,7,-3.77825,-709.313,1.02327,0.425
80000,5,-8.00694,-712.216,5.59646,0.426
81000,5,-4.11686,-706.014,3.20337,0.402
82000,5,-4.21074,-723.843,2.77505,0.404375
83000,6,-4.84895,-723.177,4.48938,0.419
84000,7,-3.72437,-716.194,3.00867,0.406875
85000,5,-5.30428,-705.643,4.15043,0.447
86000,7,-3.93952,-706.994,2.29432,0.425
87000,7,-7.12057,-708.067,3.85137,0.412
88000,7,-6.26897,-706.37,3.32467,0.406875
89000,8,-9.91571,-711.598,2.86197,0.387
90000,6,-7.71301,-709.514,5.16721,0.415143
91000,6,-6.28222,-709.832,3.95637,0.429
92000,5,-5.31548,-710.632,3.24209,0.42
93000,6,-5.42871,-711.269,2.69589,0.425
94000,5,-4.90066,-710.392,3.77061,0.43275
95000,5,-6.05979,-712.095,2.29301,0.38
96000,5,-3.44803,-706.196,2.48325,0.4115
97000,7,-6.43233,-709.524,4.48193,0.414429
98000,6,-8.63281,-715.601,4.8451,0.41475
99000,5,-5.72668,-710.457,4.52247,0.406286
100000,6,-6.23928,-707.494,4.1866,0.408375
101000,5,-4.9003,-709.278,3.11688,0.409692
102000,5,-5.05031,-707.986,3.13071,0.409143
103000,6,-9.84161,-704.889,6.25213,0.4038
104000,5,-4.00343,-706.427,3.10961,0.41725
105000,6,-5.39294,-707.138,3.34293,0.401286
106000,6,-5.61332,-699.696,3.073,0.4
107000,6,-5.45605,-701.637,3.37329,0.413
108000,5,-5.27433,-710.305,3.43303,0.42
109000,5,-6.14958,-711.5,3.81202,0.415
110000,5,-5.36088,-709.677,3.97111,0.396
111000,5,-6.59451,-711.418,3.78144,0.396111
112000,5,-5.03618,-708.588,4.2513,0.3995
113000,5,-4.41569,-703.524,3.06582,0.412
114000,6,-8.27329,-714.552,6.48493,0.4045
115000,6,-5.19405,-703.622,2.50237,0.413
116000,6,-8.18939,-713.402,4.62597,0.402875
117000,5,-5.62667,-708.222,4.14502,0.405
118000,5,-3.64755,-711.66,2.09062,0.402375
119000,5,-6.30505,-707.033,5.14248,0.443
120000,6,-5.50889,-712.833,3.09002,0.4095
121000,5,-5.26618,-714.066,2.8414,0.403765
122000,5,-3.21295,-703.714,2.03242,0.401889
123000,5,-4.98127,-708.294,1.99411,0.389
124000,5,-4.0026,-716.57,1.22485,0.398667
125000,6,-7.8412,-713.572,4.44165,0.3994
126000,5,-5.00981,-719.885,3.18213,0.3935
127000,5,-5.02912,-711.28,3.29497,0.375
128000,6,-4.73491,-704.656,3.46383,0.389
129000,5,-4.81805,-713.399,2.85141,0.389333
130000,6,-6.53139,-719.895,2.47816,0.392
131000,5,-5.18907,-717.389,1.81996,0.402824
132000,6,-5.4313,-717.964,3.90034,0.403
133000,5,-3.15408,-715.439,1.35396,0.402
134000,4,-3.63375,-716.639,2.46033,0.4022
135000,6,-11.5975,-706.28,8.1228,0.393667
136000,6,-4.69052,-704.589,3.4756,0.39775
137000,6,-5.15512,-711.714,2.82419,0.399
138000,7,-8.57347,-705.238,4.55589,0.395
139000,6,-7.07958,-708.486,3.34814,0.394
140000,7,-6.85463,-705.77,3.70028,0.4082
141000,5,-4.49347,-704.574,3.01833,0.412692
142000,6,-2.89729,-704.118,1.6667,0.403875
143000,7,-6.90985,-704.037,4.61093,0.392333
144000,6,-6.5802,-710.741,4.69359,0.4325
145000,5,-4.85611,-705.648,2.43935,0.412
146000,8,-12.1438,-708.016,8.57205,0.410833
147000,4,-4.26214,-713.355,2.29423,0.415579
148000,5,-3.93406,-714.335,0.915799,0.4074
149000,6,-5.59982,-707.013,2.16052,0.397333
150000,5,-6.21258,-713.249,2.73812,0.412864
151000,5,-4.3661,-711.217,1.17516,0.419
152000,5,-4.51887,-708.838,2.65217,0.3985
153000,5,-2.51056,-703.751,2.08925,0.408
154000,5,-3.59971,-702.795,2.05278,0.41
155000,5,-6.29748,-709.437,3.39009,0.369
156000,5,-2.55446,-710.844,1.85292,0.403375
157000,5,-6.13977,-712.39,3.89697,0.417
158000,5,-3.46777,-705.836,2.76081,0.4185
159000,5,-5.62045,-707.725,3.82069,0.418
160000,4,-6.94071,-717.008,4.94118,0.41575
161000,6,-5.27051,-710.946,4.11634,0.4
162000,4,-2.5275,-718.671,1.06871,0.3815
163000,5,-6.17142,-714.679,4.79304,0.4
164000,5,-5.04685,-713.331,3.31149,0.401333
165000,4,-5.54224,-721.729,2.28714,0.388
166000,3,-2.78517,-722.492,1.62788,0.402083
167000,4,-6.25383,-721.788,3.41053,0.3952
168000,3,-3.57414,-725.031,1.99352,0.4035
169000,3,-2.4687,-725.733,1.51182,0.392
170000,3,-2.42648,-721.778,1.08201,0.3865
171000,6,-3.43098,-715.371,1.58517,0.402
172000,6,-5.82923,-710.808,3.73472,0.401385
173000,5,-3.06148,-714.65,1.8866,0.410778
174000,5,-3.87024,-711.57,2.44753,0.435
175000,4,-3.93771,-719.782,2.95174,0.396385
176000,5,-3.29778,-710.146,2.61631,0.399357
177000,5,-4.9626,-707.279,4.11527,0.392571
178000,5,-5.8101,-711.995,4.62428,0.42175
179000,5,-3.41624,-709.245,1.28985,0.401
180000,5,-5.8716,-712.324,3.75032,0.399
181000,4,-3.84621,-712.753,2.30645,0.4126
182000,5,-6.53889,-710.899,4.84715,0.41
183000,4,-3.23335,-713.11,2.83479,0.409
184000,5,-6.27181,-717.848,2.41696,0.410625
185000,5,-6.06814,-705.62,4.10728,0.4072
186000,4,-7.51708,-726.894,4.46903,0.416833
187000,5,-2.82318,-712.239,1.32011,0.409
188000,5,-3.18643,-712.388,2.33056,0.4005
189000,5,-3.8676,-707.821,2.84165,0.406316
190000,5,-2.87891,-705.001,1.34004,0.4075
191000,5,-4.63831,-708.133,2.22598,0.406
192000,6,-3.6549,-711.85,1.22234,0.4045
193000,7,-7.10748,-712.024,3.59474,0.444
194000,8,-4.69292,-701.179,1.99181,0.406333
195000,6,-5.12223,-705.553,2.72538,0.411636
196000,6,-4.82924,-709.849,2.17496,0.417875
197000,6,-4.27753,-704.253,2.84109,0.410538
198000,5,-7.50793,-717.02,4.65827,0.426
199000,7,-6.13728,-705.961,4.25781,0.386
200000,6,-4.3243,-700.338,2.70677,0.408813
201000,8,-7.77703,-707.996,4.42735,0.412429
202000,7,-6.00992,-706.888,4.01145,0.40475
203000,6,-4.7319,-705.554,2.58195,0.407
204000,6,-6.39922,-706.361,5.2945,0.4085
205000,6,-4.7055,-711.932,3.39852,0.41
206000,7,-6.80778,-705.656,2.73549,0.403167
207000,6,-5.02668,-706.16,3.11338,0.404846
208000,6,-6.88941,-702.756,3.54838,0.404643
209000,6,-6.00664,-703.442,3.87852,0.409333
210000,6,-6.90279,-707.468,3.06422,0.407
211000,6,-5.62452,-708.685,3.22262,0.377
212000,6,-4.14966,-712.92,2.65944,0.4009
213000,5,-4.44083,-707.34,2.62734,0.411
214000,5,-5.20805,-706.529,3.25243,0.3905
215000,7,-10.4887,-701.081,8.05457,0.400545
216000,8,-9.55181,-700.844,4.65851,0.399333
217000,6,-8.55338,-712.415,3.29883,0.399667
218000,5,-3.41772,-709.208,1.49128,0.400929
219000,5,-6.30454,-710.355,5.21377,0.411
220000,5,-5.34757,-707.725,2.80501,0.414667
221000,5,-5.65808,-712.797,3.28151,0.387
222000,6,-3.75455,-708.057,2.4098,0.4025
223000,6,-5.29593,-713.263,3.93236,0.421
224000,6,-5.13294,-713.774,4.56685,0.4245
225000,5,-2.91073,-719.774,1.84657,0.409
226000,5,-5.01954,-713.9,4.24447,0.407
227000,5,-4.54056,-710.374,3.008,0.417
228000,6,-3.50184,-710.824,2.6536,0.4015
229000,4,-3.04783,-716.003,1.96235,0.413273
230000,4,-2.57504,-715.949,2.0546,0.411
231000,4,-3.23214,-714.059,2.31311,0.432
232000,6,-4.56712,-707.76,3.25075,0.42125
233000,5,-6.28997,-720.814,2.77625,0.406
234000,6,-7.16208,-703.013,4.17417,0.408962
235000,6,-6.54358,-700.82,4.29697,0.402
236000,6,-6.65631,-706.193,5.19035,0.3945
237000,6,-7.71326,-700.114,5.67147,0.405
238000,7,-7.50478,-702.885,4.49703,0.407
239000,7,-6.67942,-704.537,5.10463,0.393
240000,7,-5.11496,-707.42,2.80844,0.405
241000,6,-7.55845,-704.797,4.45703,0.392
242000,5,-1.53791,-706.257,1.16933,0.40725
243000,5,-5.06945,-708.938,4.88808,0.431
244000,5,-5.15081,-708.631,4.09603,0.4235
245000,5,-3.58105,-713.015,2.68803,0.412
246000,6,-8.34299,-708.233,6.59649,0.419667
247000,6,-5.3408,-705.536,2.81397,0.406
248000,5,-4.02498,-714.95,2.43624,0.414563
249000,4,-3.96532,-720.804,1.64805,0.407882
250000,5,-4.4827,-720.569,2.51161,0.4055
251000,5,-5.86652,-709.32,4.20635,0.407211
252000,5,-3.44338,-706.077,2.06984,0.4069
253000,5,-3.52846,-707.621,2.09071,0.388
254000,5,-4.89256,-713.986,3.43186,0.392
255000,6,-4.39622,-708.955,3.22749,0.401111
256000,7,-11.1372,-720.756,6.3745,0.414
257000,5,-4.27135,-705.428,2.87816,0.402667
258000,5,-3.06457,-704.244,2.02219,0.40075
259000,6,-2.76597,-703.175,1.98084,0.407615
260000,6,-9.21012,-711.031,6.09628,0.4109
261000,6,-7.44456,-709.407,5.14008,0.407
262000,6,-4.39674,-711.505,3.08296,0.4175
263000,7,-6.50645,-706.161,4.37569,0.433
264000,7,-5.4931,-704.373,2.84334,0.416333
265000,7,-5.23593,-699.125,2.93917,0.441
266000,6,-10.7692,-714.545,4.40848,0.428
267000,7,-6.87285,-718.18,3.33397,0.392
268000,6,-6.3006,-719.501,4.20254,0.4115
269000,6,-6.38845,-707.402,4.29467,0.405
270000,5,-4.12458,-706.705,3.80693,0.4026
271000,6,-9.46279,-710.108,5.65302,0.40944
272000,7,-6.15945,-712.659,1.40554,0.4055
273000,7,-5.96614,-707.158,4.04545,0.410407
274000,7,-8.04211,-704.862,4.53923,0.410917
275000,6,-3.35425,-698.003,1.33559,0.397
276000,4,-4.86411,-714.61,3.64028,0.419167
277000,4,-2.58881,-713.542,1.55432,0.375
278000,5,-5.07246,-718.678,2.74038,0.411125
279000,5,-5.04258,-715.219,2.74791,0.391
280000,4,-4.24972,-723.685,3.09859,0.39625
281000,4,-4.44382,-717.932,3.04634,0.394333
282000,8,-8.69465,-704.976,2.40855,0.40125
283000,6,-6.01289,-710.048,3.91709,0.408
284000,5,-6.68465,-710.775,3.57527,0.3975
285000,5,-5.57014,-713.13,2.77273,0.398
286000,4,-3.92362,-714.986,2.35695,0.401667
287000,4,-4.10439,-724.777,3.35711,0.3984
288000,4,-5.19703,-720.332,2.82049,0.39775
289000,5,-4.65935,-712.699,3.24958,0.3946
290000,5,-4.69058,-711.86,2.12499,0.390333
291000,5,-5.48782,-725.645,1.65168,0.3966
292000,5,-4.38699,-708.609,3.08241,0.411
293000,5,-4.04042,-707.456,2.77947,0.387
294000,7,-3.76189,-700.625,2.26911,0.3995
295000,7,-7.32929,-703.658,4.03143,0.4
296000,7,-5.5982,-704.96,2.9732,0.404333
297000,7,-10.5733,-705.374,7.7361,0.407
298000,7,-5.20382,-705.42,2.64227,0.3995
299000,7,-5.51173,-705.888,3.72373,0.405
300000,6,-5.20825,-721.923,1.74305,0.405
301000,6,-5.17473,-712.825,3.6763,0.401267
302000,5,-3.79394,-709.956,3.26762,0.40025
303000,6,-8.28519,-710.509,4.4605,0.401222
304000,6,-4.61415,-713.708,1.79861,0.3995
305000,6,-4.50537,-711.537,2.91355,0.411
306000,5,-3.94703,-713.398,2.25027,0.40425
307000,5,-4.85318,-705.054,3.89213,0.403
308000,5,-6.53805,-707.043,4.78596,0.397
309000,5,-6.64247,-705.784,4.7032,0.38
310000,6,-5.73477,-707.833,2.01673,0.39925
311000,5,-4.75349,-707,3.1477,0.396333
312000,7,-9.60572,-712.964,4.50903,0.3975
313000,7,-8.4702,-704.941,5.60641,0.424
314000,7,-6.0362,-705.098,2.68724,0.416
