                                     reads_raw  trim_adapter_bp_read1  trim_quality_bp_read1  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
AC_2010.techRep.fq.barcodeStripped      418888                      0                      0                    14                       972               417902
AGR-3.fq.barcodeStripped               1248490                      0                      0                  2976                       181              1245333
AGR-4.fq.barcodeStripped               1549679                      0                      0                  3562                       207              1545910
AGR-5.fq.barcodeStripped               1566087                      0                      0                  3892                       245              1561950
AGR-8.fq.barcodeStripped               1370874                      0                      0                  3411                       189              1367274
AGR1.fq.barcodeStripped                1042008                      0                      0                   708                      1884              1039416
AGR11.fq.barcodeStripped               1047989                      0                      0                   692                      1864              1045433
AGR17.fq.barcodeStripped               1422123                      0                      0                   839                      2832              1418452
AGR18.fq.barcodeStripped                962326                      0                      0                   628                      1726               959972
AGR2.fq.barcodeStripped                1042912                      0                      0                   689                      1888              1040335
AGR20.fq.barcodeStripped                125338                      0                      0                    64                       203               125071
AGR21.fq.barcodeStripped               1966178                      0                      0                  1226                      3437              1961515
AGR22.fq.barcodeStripped               1498892                      0                      0                   979                      2873              1495040
AGR23.fq.barcodeStripped                492372                      0                      0                   272                       859               491241
AGR25.fq.barcodeStripped               1380630                      0                      0                   879                      2626              1377125
AGR27.fq.barcodeStripped                202227                      0                      0                   127                       393               201707
AGR28.fq.barcodeStripped                109011                      0                      0                    69                       217               108725
AGR29.fq.barcodeStripped               1096656                      0                      0                   712                      2043              1093901
AGR30.fq.barcodeStripped                 46940                      0                      0                    26                        85                46829
AGR33.fq.barcodeStripped               2741063                      0                      0                  1691                      4994              2734378
AGR34.fq.barcodeStripped               1466193                      0                      0                   866                      2613              1462714
AGR6.fq.barcodeStripped                1408088                      0                      0                   855                      2613              1404620
AGR7.fq.barcodeStripped                 786015                      0                      0                   498                      1485               784032
AL_2010.techRep.fq.barcodeStripped      517861                      0                      0                    24                      1196               516641
AR_2012.techRep                        4046890                      0                      0                  1855                         0              4045035
AU_2010.techRep.fq.barcodeStripped      629077                      0                      0                    30                      1447               627600
BJSB3                                   931926                      0                      0                  1026                         0               930900
BJSL25_2012.techRep                    5352627                      0                      0                  2431                         0              5350196
BJVL19_2012.techRep                    4715624                      0                      0                  2227                         0              4713397
BZBB1                                   849191                      0                      0                   883                         0               848308
CH_2012.techRep                        4539385                      0                      0                  2111                         0              4537274
CR-JCB-1.fq.barcodeStripped            1423319                      0                      0                  3077                       210              1420032
CR-JCB-2.fq.barcodeStripped            1942811                      0                      0                  4075                       291              1938445
CR-JCB-3.fq.barcodeStripped            1853897                      0                      0                  4913                       282              1848702
CRL0001_2012.techRep                   3742953                      0                      0                  1498                         0              3741455
CRL0030_2012.techRep                   3242503                      0                      0                  1296                         0              3241207
CUCA4                                   570148                      0                      0                   625                         0               569523
CUMM5                                    90661                      0                      0                    96                         0                90565
CUSV6                                   775357                      0                      0                   836                         0               774521
CUVN10                                 1130911                      0                      0                  1278                         0              1129633
DM-11012                               1015073                      0                      0                  2902                       392              1011779
DM-11599                               1026942                      0                      0                  2803                       420              1023719
DM-5887                                 914083                      0                      0                  2563                       337               911183
DM1                                    2069305                      0                      0                  1409                       159              2067737
DM10                                   1976678                      0                      0                  1328                       156              1975194
DM11                                   1464498                      0                      0                   989                       123              1463386
DM12                                   1855856                      0                      0                  1277                       141              1854438
DM16                                   2276430                      0                      0                  1577                       190              2274663
DM18                                   1386191                      0                      0                   920                       100              1385171
DM19                                   1678850                      0                      0                  1104                       155              1677591
DM2                                    2261919                      0                      0                  1565                       185              2260169
DM20                                   1751437                      0                      0                  1147                       138              1750152
DM22                                   3232147                      0                      0                  2239                       272              3229636
