                                     hetero_est  error_est
AC_2010.techRep.fq.barcodeStripped     0.020038   0.001876
AGR-3.fq.barcodeStripped               0.009897   0.001407
AGR-4.fq.barcodeStripped               0.009870   0.001360
AGR-5.fq.barcodeStripped               0.008826   0.001277
AGR-8.fq.barcodeStripped               0.008906   0.001553
AGR1.fq.barcodeStripped                0.015031   0.001948
AGR11.fq.barcodeStripped               0.017542   0.002522
AGR17.fq.barcodeStripped               0.015266   0.001975
AGR18.fq.barcodeStripped               0.018067   0.002392
AGR2.fq.barcodeStripped                0.016058   0.002268
AGR20.fq.barcodeStripped               0.018879   0.002640
AGR21.fq.barcodeStripped               0.023584   0.003255
AGR22.fq.barcodeStripped               0.025625   0.003128
AGR23.fq.barcodeStripped               0.029295   0.003202
AGR25.fq.barcodeStripped               0.018187   0.002452
AGR27.fq.barcodeStripped               0.023354   0.002895
AGR28.fq.barcodeStripped               0.019539   0.002771
AGR29.fq.barcodeStripped               0.023523   0.002678
AGR30.fq.barcodeStripped               0.008218   0.002232
AGR33.fq.barcodeStripped               0.019405   0.003477
AGR34.fq.barcodeStripped               0.014343   0.001620
AGR6.fq.barcodeStripped                0.016421   0.002301
AGR7.fq.barcodeStripped                0.017900   0.002234
AL_2010.techRep.fq.barcodeStripped     0.019512   0.002013
AR_2012.techRep                        0.015393   0.001821
AU_2010.techRep.fq.barcodeStripped     0.016193   0.001674
BJSB3                                  0.014581   0.001690
BJSL25_2012.techRep                    0.015055   0.001732
BJVL19_2012.techRep                    0.014288   0.001699
BZBB1                                  0.015490   0.001780
CH_2012.techRep                        0.015908   0.001834
CR-JCB-1.fq.barcodeStripped            0.006784   0.001116
CR-JCB-2.fq.barcodeStripped            0.006984   0.001179
CR-JCB-3.fq.barcodeStripped            0.006834   0.001431
CRL0001_2012.techRep                   0.016147   0.002184
CRL0030_2012.techRep                   0.012930   0.002173
CUCA4                                  0.016691   0.001929
CUMM5                                  0.015822   0.001844
CUSV6                                  0.016019   0.001826
CUVN10                                 0.015919   0.001781
DM-11012                               0.013681   0.002063
DM-11599                               0.013487   0.002285
DM-5887                                0.015311   0.002547
DM1                                    0.016737   0.001750
DM10                                   0.015513   0.001642
DM11                                   0.015680   0.001647
DM12                                   0.016062   0.001735
DM16                                   0.015277   0.001647
DM18                                   0.015662   0.001795
DM19                                   0.018246   0.002172
DM2                                    0.016419   0.001619
DM20                                   0.016541   0.001748
DM22                                   0.017253   0.001638
DM23                                   0.016466   0.001744
DM24                                   0.016381   0.001722
DM28                                   0.016678   0.001801
DM3                                    0.014544   0.001484
DM30                                   0.018447   0.001913
DM31                                   0.028793   0.003082
DM34                                   0.016314   0.001875
DM35                                   0.015062   0.001579
DM36                                   0.017337   0.001874
DM37                                   0.019664   0.001444
DM38                                   0.017156   0.001806
DM39                                   0.014909   0.001676
DM40                                   0.015432   0.001524
DM41                                   0.016304   0.001504
DM43                                   0.017464   0.001570
DM45                                   0.013103   0.001357
DM46                                   0.013937   0.001502
DM47                                   0.014250   0.001501
DM5                                    0.015615   0.001671
DM52                                   0.014839   0.001712
DM53                                   0.015787   0.001688
DM54                                   0.017047   0.001947
DM55                                   0.016886   0.001962
DM56                                   0.016515   0.001778
DM57                                   0.016630   0.001972
DM58                                   0.014373   0.001788
DM59                                   0.015665   0.001817
DM6                                    0.016902   0.001635
DM60                                   0.018985   0.002181
DM61                                   0.013664   0.001841
DM62                                   0.020231   0.002174
DM63                                   0.017497   0.001828
DM65                                   0.017159   0.001769
DM66                                   0.015378   0.001763
DM68                                   0.017282   0.002109
DM69                                   0.015587   0.001893
DM7                                    0.017069   0.001758
DM70                                   0.015951   0.001985
DM71                                   0.012121   0.001245
DM72                                   0.014757   0.001698
DM73                                   0.014092   0.001474
DM74                                   0.015815   0.001606
DM8                                    0.016403   0.001602
DM9                                    0.016081   0.001667
DO_2012.techRep                        0.015166   0.002063
DU_2012.techRep                        0.015360   0.002001
EN_2012.techRep                        0.014828   0.002165
F7                                     0.013227   0.001944
FLAB109_2012.techRep                   0.009350   0.002023
FLBA140_2012.techRep                   0.014776   0.001851
FLCK18                                 0.016190   0.001929
FLCK216                                0.016537   0.001901
FLMO62                                 0.018646   0.002022
FLSA185                                0.012247   0.002520
FLSF33                                 0.016268   0.001879
FLSF47                                 0.016944   0.001870
FLSF54_2012.techRep                    0.015540   0.002156
FLWO6                                  0.017288   0.002129
HE_2012.techRep                        0.014039   0.001801
HNDA09                                 0.015564   0.001797
HY_2010.techRep.fq.barcodeStripped     0.019431   0.001768
JCB-MX-JA-MA-153.fq.barcodeStripped    0.012949   0.001489
JCB-MX-JA-TM-123.fq.barcodeStripped    0.013654   0.001564
JCB-MX-JA-TS-215.fq.barcodeStripped    0.012677   0.001561
JCB-MX-OA-OA-34.fq.barcodeStripped     0.013105   0.001446
LALC2                                  0.015525   0.001640
LO_2010.techRep.fq.barcodeStripped     0.016018   0.001534
LY_2010.techRep.fq.barcodeStripped     0.023572   0.001920
MA_2010.techRep.fq.barcodeStripped     0.024923   0.002036
MI_2010.techRep.fq.barcodeStripped     0.036046   0.002642
MO_2010.techRep.fq.barcodeStripped     0.020560   0.001820
MXED8                                  0.016632   0.001855
MXGT4                                  0.016384   0.001664
MXSA3017                               0.015253   0.001812
NI_2012.techRep                        0.014855   0.001809
NM35.fq.barcodeStripped                0.011227   0.001227
NX02.fq.barcodeStripped                0.013120   0.001461
NX03.fq.barcodeStripped                0.012414   0.001287
NX04.fq.barcodeStripped                0.012587   0.001248
NX05.fq.barcodeStripped                0.012925   0.001339
NX08.fq.barcodeStripped                0.013205   0.001325
NX11.fq.barcodeStripped                0.013340   0.001198
NX13.fq.barcodeStripped                0.012891   0.001307
NX14.fq.barcodeStripped                0.013216   0.001317
NX15.fq.barcodeStripped                0.011873   0.001359
NX16.fq.barcodeStripped                0.012829   0.001312
NX17.fq.barcodeStripped                0.012696   0.001229
NX18.fq.barcodeStripped                0.013382   0.001351
NX19.fq.barcodeStripped                0.013543   0.001275
NX23.fq.barcodeStripped                0.013023   0.001363
OAK-MOR-001151                         0.008078   0.002026
OAK-MOR-001152                         0.015149   0.002553
OAK-MOR-001153                         0.008457   0.002038
OAK-MOR-001156                         0.010093   0.002247
OAK-MOR-001157                         0.009519   0.002055
OAK-MOR-001158                         0.009066   0.002127
OAK-MOR-001159                         0.009117   0.002036
OAK-MOR-001160                         0.008497   0.002013
OAK-MOR-001161                         0.009404   0.002068
OAK-MOR-001162                         0.010471   0.002170
OAK-MOR-001163                         0.009236   0.002112
OAK-MOR-001165                         0.008906   0.002124
OAK-MOR-001166                         0.009411   0.002182
OAK-MOR-001167                         0.008496   0.002171
OAK-MOR-001170                         0.010425   0.002167
OAK-MOR-001171                         0.009672   0.002001
OAK-MOR-001172                         0.008352   0.002084
OAK-MOR-001173                         0.008783   0.002020
OAK-MOR-001174                         0.007875   0.002009
OAK-MOR-001175                         0.008046   0.002017
OAK-MOR-001176                         0.010087   0.002133
OAK-MOR-001177                         0.008086   0.002004
OAK-MOR-001178                         0.009566   0.001981
OAK-MOR-001179                         0.009321   0.002075
OAK-MOR-001180                         0.008984   0.002018
OAK-MOR-001181                         0.009631   0.002146
OAK-MOR-001182                         0.008744   0.002093
OAK-MOR-001183                         0.010328   0.002182
OAK-MOR-001184                         0.009090   0.002159
OAK-MOR-001185                         0.010145   0.002239
OAK-MOR-001186                         0.009421   0.002081
OAK-MOR-001191                         0.009977   0.002136
OAK-MOR-001192                         0.008957   0.002046
OAK-MOR-001193                         0.008821   0.002053
OAK-MOR-001194                         0.009313   0.002203
OAK-MOR-001195                         0.009752   0.002047
OAK-MOR-001196                         0.008485   0.002060
OAK-MOR-001197                         0.007966   0.002066
OAK-MOR-001198                         0.010697   0.002202
OAK-MOR-001199                         0.010344   0.002021
OAK-MOR-001200                         0.010279   0.002065
OAK-MOR-001202                         0.010126   0.002125
OAK-MOR-001203                         0.010649   0.002026
OAK-MOR-001204                         0.008917   0.001983
OAK-MOR-001205                         0.013430   0.002166
OAK-MOR-001206                         0.009993   0.002225
OAK-MOR-001207                         0.009520   0.002068
OAK-MOR-001208                         0.010796   0.002182
OAK-MOR-001209                         0.010177   0.002210
OAK-MOR-001210                         0.011479   0.002214
OAK-MOR-001211                         0.011424   0.002226
OAK-MOR-001212                         0.010499   0.002098
OAK-MOR-001213                         0.009952   0.002110
OAK-MOR-001214                         0.009163   0.002124
OAK-MOR-001215                         0.009739   0.002158
OAK-MOR-001218                         0.009627   0.002195
OAK-MOR-001219                         0.009242   0.002210
OAK-MOR-1040                           0.013352   0.002763
OAK-MOR-1041                           0.013982   0.002462
OAK-MOR-1042                           0.015579   0.002978
OAK-MOR-1046                           0.014377   0.002518
OAK-MOR-1047                           0.014531   0.002601
OAK-MOR-1049                           0.013136   0.002453
OAK-MOR-1054                           0.014838   0.002746
OAK-MOR-1055                           0.014801   0.002498
OAK-MOR-1057                           0.014386   0.002785
OAK-MOR-1058                           0.014595   0.002582
OAK-MOR-1059                           0.013579   0.001911
OAK-MOR-1060                           0.013663   0.002376
OAK-MOR-1061                           0.012110   0.001845
OAK-MOR-1095                           0.015581   0.002167
OAK-MOR-1134                           0.012229   0.001851
OAK-MOR-1135                           0.014804   0.001988
OAK-MOR-1136                           0.012738   0.001765
OAK-MOR-1137                           0.012489   0.001898
OAK-MOR-1138                           0.013588   0.001983
OAK-MOR-1140                           0.013079   0.001876
OAK-MOR-1141                           0.008279   0.001807
OAK-MOR-1142                           0.013251   0.001896
OAK-MOR-1143                           0.013500   0.001857
OAK-MOR-1144                           0.014173   0.001756
OAK-MOR-1145                           0.016520   0.002125
OAK-MOR-1146                           0.016743   0.001959
OAK-MOR-1147                           0.014581   0.001979
OAK-MOR-1148                           0.011635   0.001836
OAK-MOR-118                            0.010567   0.002119
OAK-MOR-120                            0.010764   0.002192
OAK-MOR-1224                           0.010654   0.002158
OAK-MOR-1227                           0.009956   0.002148
OAK-MOR-1228                           0.010076   0.002008
OAK-MOR-1229                           0.010297   0.002104
OAK-MOR-123.fq.barcodeStripped         0.011382   0.001257
OAK-MOR-1230                           0.011067   0.002068
OAK-MOR-1234                           0.009036   0.001936
OAK-MOR-1235                           0.010767   0.002176
OAK-MOR-125                            0.014292   0.002300
OAK-MOR-127                            0.012250   0.002209
OAK-MOR-133.fq.barcodeStripped         0.012370   0.001303
OAK-MOR-135                            0.013720   0.002099
OAK-MOR-143                            0.014169   0.002888
OAK-MOR-164                            0.013764   0.003449
OAK-MOR-167.fq.barcodeStripped         0.012657   0.001364
OAK-MOR-169.fq.barcodeStripped         0.013353   0.001377
OAK-MOR-173                            0.015185   0.002184
OAK-MOR-174                            0.014665   0.002081
OAK-MOR-189                            0.015264   0.002405
OAK-MOR-191                            0.015329   0.002235
OAK-MOR-199                            0.012217   0.002029
OAK-MOR-204.fq.barcodeStripped         0.012951   0.001446
OAK-MOR-221.fq.barcodeStripped         0.013470   0.001418
OAK-MOR-222                            0.015271   0.002212
OAK-MOR-226                            0.014572   0.002297
OAK-MOR-245.fq.barcodeStripped         0.015958   0.002177
OAK-MOR-249.fq.barcodeStripped         0.015700   0.001723
OAK-MOR-256.fq.barcodeStripped         0.012162   0.001335
