                                    clusters_total filtered_by_depth filtered_by_maxH filtered_by_maxN reads_consens   nsites nhetero heterozygosity
AC_2010.techRep.fq.barcodeStripped           74856             50661              116              201         23878  1317189   19746        0.01499
AGR-3.fq.barcodeStripped                    125308             58662             1721              563         64362  5804092   30400        0.00524
AGR-4.fq.barcodeStripped                    155483             74896             2004              703         77880  7020321   37234        0.00530
AGR-5.fq.barcodeStripped                    135538             58941             1710              589         74298  6697570   31687        0.00473
AGR-8.fq.barcodeStripped                    184063            100960             1663              960         80480  7255497   36251        0.00500
AGR1.fq.barcodeStripped                      90132             31152             2287              759         55934  5103150   42423        0.00831
AGR11.fq.barcodeStripped                    386501            349224             1912             1237         34128  3111085   24826        0.00798
AGR17.fq.barcodeStripped                    213116            145669             2618             1029         63800  5821340   49287        0.00847
AGR18.fq.barcodeStripped                    274345            230761             2156             1418         40010  3648099   32657        0.00895
AGR2.fq.barcodeStripped                     165471            108640             2388             1162         53281  4861160   42516        0.00875
AGR20.fq.barcodeStripped                     64667             63142               97               88          1340   122058     813        0.00666
AGR21.fq.barcodeStripped                    762214            704012             4734             2590         50878  4691159   45754        0.00975
AGR22.fq.barcodeStripped                    539411            485652             4123             2819         46817  4270083   52535        0.01230
AGR23.fq.barcodeStripped                    187066            176020              751              741          9554   872370   14086        0.01615
AGR25.fq.barcodeStripped                    442938            390294             2690             1697         48257  4403005   39149        0.00889
AGR27.fq.barcodeStripped                     94836             91196              253              250          3137   286117    2891        0.01010
AGR28.fq.barcodeStripped                     51864             50088               83              106          1587   144734    1471        0.01016
AGR29.fq.barcodeStripped                    346405            302012             3368             1810         39215  3578383   34399        0.00961
AGR30.fq.barcodeStripped                     25766             25291               11               15           449    40876     155        0.00379
AGR33.fq.barcodeStripped                    822453            719220             6619             3980         92634  8443138   76072        0.00901
AGR34.fq.barcodeStripped                     92685             26063             2550              583         63489  5793456   46063        0.00795
AGR6.fq.barcodeStripped                     413404            352693             2651             1717         56343  5136991   43111        0.00839
AGR7.fq.barcodeStripped                     181312            144091             1692              914         34615  3157942   30368        0.00962
AL_2010.techRep.fq.barcodeStripped           78726             47174              180              231         31141  1717539   25483        0.01484
AR_2012.techRep                             105360             28608             3462              595         72695  6931617   57499        0.00830
AU_2010.techRep.fq.barcodeStripped           77688             40619              188              192         36689  2022197   24776        0.01225
BJSB3                                        82331             33400             2023              716         46192  4396785   33177        0.00755
BJSL25_2012.techRep                         114430             32650             3870              593         77317  7369235   55482        0.00753
BJVL19_2012.techRep                         108784             30812             3400              557         74015  7053441   51688        0.00733
BZBB1                                        96357             49090             2080              777         44410  4228701   33533        0.00793
CH_2012.techRep                             110395             31460             3738              632         74565  7109466   60857        0.00856
CR-JCB-1.fq.barcodeStripped                 193744            105794             1507              660         85783  7730606   26779        0.00346
CR-JCB-2.fq.barcodeStripped                 292948            168082             2302             1149        121415 10939012   37716        0.00345
CR-JCB-3.fq.barcodeStripped                 233893            121941             2083              966        108903  9813171   32997        0.00336
CRL0001_2012.techRep                        153145             59804             4151             1202         87988  8384460   74941        0.00894
CRL0030_2012.techRep                        165711             74231             3605             1514         86361  8221282   51057        0.00621
CUCA4                                        79694             44774             1515              759         32646  3109562   27694        0.00891
CUMM5                                        26742             22767              186              149          3640   346434    2547        0.00735
CUSV6                                        83254             37794             2000              770         42690  4066110   34691        0.00853
CUVN10                                       92566             37047             2387              785         52347  4984703   42901        0.00861
DM-11012                                    105597             55190             1643              752         48012  4362827   33960        0.00778
DM-11599                                     86941             36776             1854              668         47643  4329075   31209        0.00721
DM-5887                                     129335             80836             1939              886         45674  4150406   34868        0.00840
DM1                                          96334             27834             2954              598         64948  5929451   57480        0.00969
DM10                                         91869             26374             2662              515         62318  5687456   50410        0.00886
DM11                                         87407             27837             2402              558         56610  5166003   46137        0.00893
DM12                                         92691             26551             2749              601         62790  5730292   52702        0.00920
DM16                                        111812             43334             2852              605         65021  5934032   49192        0.00829
DM18                                         90773             30316             2529              607         57321  5231071   45960        0.00879
DM19                                        112256             46724             2888              799         61845  5651343   59654        0.01056
DM2                                          94884             25674             2851              569         65790  6005759   57299        0.00954
DM20                                        190347            115301             2937             1119         70990  6476692   61458        0.00949
DM22                                        105726             30506             3411              578         71231  6506158   64406        0.00990
DM23                                        101380             29743             3256              596         67785  6188302   56366        0.00911
DM24                                        103747             34729             2907              568         65543  5983590   56905        0.00951
DM28                                        115804             44477             3091              644         67592  6172550   58853        0.00953
DM3                                         110076             42988             2455              685         63948  5833848   48055        0.00824
DM30                                         95007             37208             2710              739         54350  4961806   51719        0.01042
DM31                                         27591             26167              110               70          1244   113697    1671        0.01470
DM34                                         91220             31370             2646              668         56536  5160432   46039        0.00892
DM35                                        116548             54422             2392              623         59111  5393803   45360        0.00841
DM36                                         85001             56660             1281              532         26528  2423220   22352        0.00922
DM37                                        147093             62440             5085              729         78839  7209481   69090        0.00958
DM38                                        229903            132201             4500             1133         92069  8410365   78646        0.00935
DM39                                        431410            293536             5775             2226        129873 11853795   89984        0.00759
DM40                                         91879             27925             2495              521         60938  5562519   48955        0.00880
DM41                                        103089             30674             3099              512         68804  6283129   57707        0.00918
DM43                                        133973             56733             3734              633         72873  6656274   62554        0.00940
DM45                                         92427             24933             2357              488         64649  5898574   43013        0.00729
DM46                                         98251             26665             2899              506         68181  6220953   45371        0.00729
DM47                                        167830             91021             2677              715         73417  6697730   54955        0.00821
DM5                                          91116             25947             2650              541         61978  5656304   50386        0.00891
